SA2_CODE,Parents_Born_Overseas,Parents_POB_Parent_Code,obsValue
116021562,Both parents born in Australia,TOT,1085
116021562,Not stated - birthplace for either or both parents not stated,TOT,126
116021563,Total,NA,22938
116021563,Both parents born overseas,TOT,12e3
116021563,Father only born overseas,TOT,1496
116021563,Mother only born overseas,TOT,898
116021563,Both parents born in Australia,TOT,7670
116021563,Not stated - birthplace for either or both parents not stated,TOT,873
116031313,Total,NA,18445
116031313,Both parents born overseas,TOT,7769
116031313,Father only born overseas,TOT,1139
116031313,Mother only born overseas,TOT,684
116031313,Both parents born in Australia,TOT,7012
116031313,Not stated - birthplace for either or both parents not stated,TOT,1837
116031314,Total,NA,8356
116031314,Both parents born overseas,TOT,5009
116031314,Father only born overseas,TOT,409
116031314,Mother only born overseas,TOT,309
116031314,Both parents born in Australia,TOT,2260
116031314,Not stated - birthplace for either or both parents not stated,TOT,370
116031315,Total,NA,20671
116031315,Both parents born overseas,TOT,13019
116031315,Father only born overseas,TOT,1024
116031315,Mother only born overseas,TOT,742
116031315,Both parents born in Australia,TOT,4795
116031315,Not stated - birthplace for either or both parents not stated,TOT,1101
116031316,Total,NA,20709
116031316,Both parents born overseas,TOT,8372
116031316,Father only born overseas,TOT,1234
116031316,Mother only born overseas,TOT,773
116031316,Both parents born in Australia,TOT,8316
116031316,Not stated - birthplace for either or both parents not stated,TOT,2009
116031317,Total,NA,22698
116031317,Both parents born overseas,TOT,14591
116031317,Father only born overseas,TOT,1005
116031317,Mother only born overseas,TOT,638
116031317,Both parents born in Australia,TOT,4888
116031317,Not stated - birthplace for either or both parents not stated,TOT,1584
116031318,Total,NA,40
116031318,Both parents born overseas,TOT,14
116031318,Father only born overseas,TOT,0
116031318,Mother only born overseas,TOT,0
116031318,Both parents born in Australia,TOT,10
116031318,Not stated - birthplace for either or both parents not stated,TOT,18
116031319,Total,NA,21154
116031319,Both parents born overseas,TOT,13612
116031319,Father only born overseas,TOT,956
116031319,Mother only born overseas,TOT,729
116031319,Both parents born in Australia,TOT,4900
116031319,Not stated - birthplace for either or both parents not stated,TOT,957
117011320,Total,NA,18
117011320,Both parents born overseas,TOT,7
117011320,Father only born overseas,TOT,0
117011320,Mother only born overseas,TOT,0
117011320,Both parents born in Australia,TOT,13
117011320,Not stated - birthplace for either or both parents not stated,TOT,0
117011321,Total,NA,10817
117011321,Both parents born overseas,TOT,4515
117011321,Father only born overseas,TOT,840
117011321,Mother only born overseas,TOT,652
117011321,Both parents born in Australia,TOT,3927
117011321,Not stated - birthplace for either or both parents not stated,TOT,887
117011322,Total,NA,24410
117011322,Both parents born overseas,TOT,16365
117011322,Father only born overseas,TOT,1106
117011322,Mother only born overseas,TOT,794
117011322,Both parents born in Australia,TOT,4606
117011322,Not stated - birthplace for either or both parents not stated,TOT,1540
117011323,Total,NA,11373
117011323,Both parents born overseas,TOT,6458
117011323,Father only born overseas,TOT,641
117011323,Mother only born overseas,TOT,439
117011323,Both parents born in Australia,TOT,2885
117011323,Not stated - birthplace for either or both parents not stated,TOT,945
117011324,Total,NA,10
117011324,Both parents born overseas,TOT,4
117011324,Father only born overseas,TOT,0
117011324,Mother only born overseas,TOT,0
117011324,Both parents born in Australia,TOT,0
117011324,Not stated - birthplace for either or both parents not stated,TOT,0
117011325,Total,NA,58
117011325,Both parents born overseas,TOT,11
117011325,Father only born overseas,TOT,3
117011325,Mother only born overseas,TOT,0
117011325,Both parents born in Australia,TOT,14
117011325,Not stated - birthplace for either or both parents not stated,TOT,32
117021326,Total,NA,26533
117021326,Both parents born overseas,TOT,12955
117021326,Father only born overseas,TOT,1955
117021326,Mother only born overseas,TOT,1384
117021326,Both parents born in Australia,TOT,8035
117021326,Not stated - birthplace for either or both parents not stated,TOT,2211
117021327,Total,NA,20231
117021327,Both parents born overseas,TOT,7437
