SA2_CODE,LFSP_C16,obsValue
702021055,UEMP,193
702021055,LF,796
702021056,UEMP,89
702021056,LF,1248
702031057,UEMP,166
702031057,LF,1955
702031058,UEMP,125
702031058,LF,644
702031059,UEMP,269
702031059,LF,597
702031060,UEMP,163
702031060,LF,685
702031061,UEMP,338
702031061,LF,1147
702041062,UEMP,128
702041062,LF,847
702041063,UEMP,400
702041063,LF,1661
702041064,UEMP,40
702041064,LF,1600
702051065,UEMP,102
702051065,LF,635
702051066,UEMP,194
702051066,LF,1064
702051067,UEMP,161
702051067,LF,4311
702051068,UEMP,124
702051068,LF,715
797979799,UEMP,0
797979799,LF,25
801011001,UEMP,39
801011001,LF,1188
801011002,UEMP,301
801011002,LF,3885
801011003,UEMP,244
801011003,LF,4085
801011004,UEMP,90
801011004,LF,1502
801011005,UEMP,67
801011005,LF,1448
801011006,UEMP,152
801011006,LF,3983
801011007,UEMP,121
801011007,LF,2827
801011008,UEMP,136
801011008,LF,2489
801011009,UEMP,80
801011009,LF,1757
801011010,UEMP,43
801011010,LF,1039
801011011,UEMP,89
801011011,LF,1759
801011012,UEMP,0
801011012,LF,3
801011013,UEMP,77
801011013,LF,1474
801011014,UEMP,64
801011014,LF,1538
801011015,UEMP,123
801011015,LF,2246
801011016,UEMP,210
801011016,LF,3821
801011017,UEMP,88
801011017,LF,1893
801011018,UEMP,6
801011018,LF,66
801011019,UEMP,145
801011019,LF,3848
801011020,UEMP,63
801011020,LF,1379
801011021,UEMP,69
801011021,LF,1447
801011022,UEMP,59
801011022,LF,1534
801011023,UEMP,72
801011023,LF,1345
801011024,UEMP,93
801011024,LF,1470
801011025,UEMP,73
801011025,LF,1318
801011026,UEMP,55
801011026,LF,1289
801011111,UEMP,0
801011111,LF,5
801011112,UEMP,0
801011112,LF,8
801031031,UEMP,0
801031031,LF,3
801031032,UEMP,0
801031032,LF,13
801031113,UEMP,38
801031113,LF,382
801031114,UEMP,4
801031114,LF,65
801031115,UEMP,0
801031115,LF,89
801041034,UEMP,132
801041034,LF,3158
801041035,UEMP,158
801041035,LF,3626
801041036,UEMP,116
801041036,LF,3498
801041037,UEMP,76
801041037,LF,2652
801041038,UEMP,97
801041038,LF,2411
801041039,UEMP,195
801041039,LF,3833
801041040,UEMP,227
801041040,LF,3548
801041043,UEMP,3
801041043,LF,133
801041044,UEMP,196
801041044,LF,4447
801041045,UEMP,0
801041045,LF,5
801041046,UEMP,246
801041046,LF,5964
801041047,UEMP,151
801041047,LF,3792
801041048,UEMP,158
801041048,LF,3106
801041116,UEMP,0
801041116,LF,0
801041117,UEMP,0
801041117,LF,0
801041118,UEMP,18
801041118,LF,373
801041119,UEMP,3
801041119,LF,4
801041120,UEMP,0
801041120,LF,47
801041121,UEMP,0
801041121,LF,0
801041122,UEMP,0
801041122,LF,0
801051049,UEMP,278
801051049,LF,978
801051050,UEMP,109
801051050,LF,2558
801051051,UEMP,223
801051051,LF,3640
801051053,UEMP,280
801051053,LF,2249
801051054,UEMP,70
