School_name,Town_suburb,Postcode,School_gender,Level_of_schooling,Latitude,Longitude,SA2_Code
Holy Spirit Catholic Primary School,North Ryde,2113,Co-ed,Primary,-33.796209,151.123777,126021501
Our Lady Star of the Sea Catholic School,Miranda,2228,Co-ed,Primary,-34.032851,151.104062,128011530
Stella Maris College,Manly,2095,Female,Secondary,-33.78629,151.286084,122011419
Stella Maris Catholic Primary School,Shellharbour,2529,Co-ed,Primary,-34.580333,150.869894,107031141
SCEGGS  Darlinghurst,Darlinghurst,2010,Female,Combined,-33.87599,151.218826,117031329
Sydney Church of England Co-Educational Grammar School  Redlands,Cremorne,2090,Co-ed,Combined,-33.832193,151.227263,121041413
Sydney Church of England Grammar School,North Sydney,2060,Co-ed,Combined,-33.839913,151.204871,121041417
Sydney Grammar School  Edgecliff Preparatory School,Paddington,2021,Male,Primary,-33.879554,151.230279,118011345
Sydney Grammar School  St Ives Preparatory School,St Ives,2075,Male,Primary,-33.718123,151.17078,121031410
Sydney Grammar School,Darlinghurst,2010,Male,Secondary,-33.874973,151.213277,117031329
Tara Anglican School for Girls,North Parramatta,2151,Female,Combined,-33.790469,151.014717,125041489
St Clare's High School,Taree,2430,Co-ed,Secondary,-31.897023,152.479476,108051169
The Armidale School,Armidale,2350,Co-ed,Combined,-30.519975,151.673195,110011186
The King's School,North Parramatta,2151,Male,Combined,-33.788027,151.021918,125041489
The Scots College,Bellevue Hill,2023,Male,Combined,-33.875115,151.253856,118011343
The Scots School,Bathurst,2795,Co-ed,Combined,-33.431184,149.616329,103011059
Trinity Grammar School,Summer Hill,2130,Male,Combined,-33.898552,151.130711,120031390
Tudor House,Moss Vale,2577,Male,Primary,-34.560626,150.408017,114021287
Tyndale Christian School,Blacktown,2148,Co-ed,Combined,-33.782349,150.885119,116011561
Villa Maria Catholic Primary School,Hunters Hill,2110,Co-ed,Primary,-33.830064,151.139696,126021499
Waverley College,Waverley,2024,Male,Combined,-33.900034,151.257337,118011341
Wenona School Ltd,North Sydney,2060,Female,Combined,-33.834101,151.209609,121041417
Christ the King Primary School,North Rocks,2151,Co-ed,Primary,-33.775284,151.02327,125041490
Sacred Heart Primary School,Kooringal,2650,Co-ed,Primary,-35.137892,147.376874,113031267
St Paul the Apostle Primary School,Winston Hills,2153,Co-ed,Primary,-33.777215,150.973113,125041494
St Paul's College,West Kempsey,2440,Co-ed,Secondary,-31.060509,152.822097,108021155
St Rose Catholic Primary School,Collaroy Plateau,2097,Co-ed,Primary,-33.726921,151.286194,122031431
St Therese's Primary School,New Lambton,2305,Co-ed,Primary,-32.925619,151.716067,111031225
St Therese's Community School,Wilcannia,2836,Co-ed,Primary,-31.559128,143.379376,105021098
The Scots School Albury,Albury,2640,Co-ed,Combined,-36.07289,146.9272,109011174
St Joseph's Primary School,Balranald,2715,Co-ed,Primary,-34.638078,143.563823,109021179
Caroline Chisholm College,Glenmore Park,2745,Female,Secondary,-33.78659,150.674905,124031460
Our Lady Queen of Peace Catholic Primary School,Gladesville,2111,Co-ed,Primary,-33.826261,151.126955,126021498
St Mary's Catholic Primary School,Noraville,2263,Co-ed,Primary,-33.268628,151.558775,102021054
St Anthony's Catholic Primary School,Marsfield,2122,Co-ed,Primary,-33.780982,151.102615,126021500
St Mary's Primary School,Casino,2470,Co-ed,Primary,-28.862006,153.044961,112021244
St John's Primary School,Mullumbimby,2482,Co-ed,Primary,-28.549467,153.496826,112011243
Cathedral School,Bathurst,2795,Co-ed,Primary,-33.419281,149.575319,103011058
Barker College,Hornsby,2077,Co-ed,Combined,-33.709245,151.099056,121021577
Kamaroi Rudolf Steiner School,Belrose,2085,Co-ed,Primary,-33.711374,151.215821,122031428
Regents Park Christian School,Regents Park,2143,Co-ed,Combined,-33.881224,151.026762,125011587
Wycliffe Christian School,Warrimoo,2774,Co-ed,Combined,-33.720683,150.615343,124011450
St Thomas Aquinas Catholic Primary School,Bowral,2576,Co-ed,Primary,-34.476804,150.420872,114021284
Narromine Christian School,Narromine,2821,Co-ed,Primary,-32.238002,148.245937,105031105
Sydney Japanese School,Terrey Hills,2084,Co-ed,Combined,-33.676174,151.19965,122031432
St Francis Xavier's Catholic Primary School,Lurnea,2170,Co-ed,Primary,-33.933221,150.899256,127031599
St Joseph's Catholic Primary School,Moorebank,2170,Co-ed,Primary,-33.92836,150.954871,127031523
Hennessy Catholic College,Young,2594,Co-ed,Secondary,-34.31487,148.292351,101061543
St Anthony's Catholic Primary School,Picton,2571,Co-ed,Primary,-34.170802,150.611975,123031447
James Sheahan Catholic High School,Orange,2800,Co-ed,Secondary,-33.300853,149.091091,103041077
St Joseph's Primary School,Goulburn North,2580,Co-ed,Primary,-34.746244,149.732804,101051539
Mosman Church of England Preparatory School,Mosman,2088,Male,Primary,-33.832911,151.240046,121041415
Kempsey Adventist School,Kempsey,2440,Co-ed,Combined,-31.091622,152.83048,108021155
Shire Christian School,Barden Ridge,2234,Co-ed,Combined,-34.03633,151.009115,128021535
Manning District Adventist School,Tinonee,2430,Co-ed,Primary,-31.895128,152.498117,108051169
Korowal School,Hazelbrook,2779,Co-ed,Combined,-33.711046,150.350184,124011452
Mamre Anglican School,Erskine Park,2759,Co-ed,Combined,-33.831381,150.785964,127021518
Tambelin Independent School,Goulburn,2580,Co-ed,Primary,-34.749518,149.726329,101051539
Linuwel School Ltd,East Maitland,2323,Co-ed,Combined,-32.736732,151.600686,106021115
Holy Family School,Kelso,2795,Co-ed,Primary,-33.401074,149.606009,103011059
Our Lady of the Way Primary School,Emu Plains,2750,Co-ed,Primary,-33.756277,150.655824,124031459
St Mary's Catholic Primary School,Georges Hall,2198,Co-ed,Primary,-33.910572,150.982365,119011354
Good Shepherd Primary School,Plumpton,2761,Co-ed,Primary,-33.746681,150.832854,116031315
St Columba's Catholic College,Springwood,2777,Co-ed,Secondary,-33.673201,150.58763,124011454
Our Lady Star of the Sea Catholic Primary School,Terrigal,2260,Co-ed,Primary,-33.428434,151.413873,102011031
St Martin's Catholic Primary School,Davidson,2085,Co-ed,Primary,-33.741943,151.199458,122031428
Our Lady of The Rosary Catholic Primary School,Wyoming,2250,Co-ed,Primary,-33.412651,151.350553,102011043
St Thomas More Catholic Primary School,Campbelltown,2560,Co-ed,Primary,-34.081202,150.82512,123021436
St John Bosco College,Engadine,2233,Co-ed,Secondary,-34.059276,151.008769,128021607
Covenant Christian School,Belrose,2085,Co-ed,Combined,-33.713684,151.216023,122031428
Our Lady of the Rosary Primary School,Kellyville,2155,Co-ed,Primary,-33.706786,150.955194,115011559
Bethel Christian School,Mount Druitt,2770,Co-ed,Combined,-33.775057,150.810833,116031317
The Lakes Christian College,Castlereagh,2749,Co-ed,Combined,-33.686263,150.684721,124031458
Pacific Hills Christian School,Dural,2158,Co-ed,Combined,-33.696684,151.035675,115021297
John Therry Catholic High School,Rosemeadow,2560,Co-ed,Secondary,-34.100424,150.785953,123021444
Arkana College,Kingsgrove,2208,Co-ed,Primary,-33.94985,151.09848,119041377
Highfields Preparatory & Kindergarten School Limited,Lindfield,2070,Co-ed,Primary,-33.775314,151.163641,121031408
Gilroy Catholic College,Castle Hill,2154,Co-ed,Secondary,-33.740154,150.996633,115011553
Mary Help of Christians Primary School Sawtell,Toormina,2452,Co-ed,Primary,-30.358164,153.083971,104021089
Norwest Christian College,Riverstone,2765,Co-ed,Combined,-33.677741,150.873642,116021312
Sherwood Hills Christian School,Bradbury,2560,Co-ed,Combined,-34.083556,150.814154,123021436
Nowra Christian School,Nowra,2541,Co-ed,Combined,-34.904759,150.615523,114011278
Hopepoint Christian School,Georges Hall,2198,Co-ed,Primary,-33.911731,150.977206,119011354
Newcastle Waldorf School,Glendale,2285,Co-ed,Combined,-32.924437,151.655596,111011209
Forestville Montessori School,Forestville,2087,Co-ed,Primary,-33.75822,151.218913,122031427
Odyssey House,Eaglevale,2558,Co-ed,Secondary,-34.034379,150.813818,123021438
Toongabbie Christian School Ltd,Toongabbie,2146,Co-ed,Combined,-33.789371,150.943398,116011308
Coffs Harbour Christian Community School,Bonville,2450,Co-ed,Combined,-30.378228,153.057112,104021089
Lindisfarne Anglican School,Terranora,2486,Co-ed,Combined,-28.233789,153.504788,112031551
Northcross Christian School,Ryde,2112,Co-ed,Primary,-33.806204,151.111571,126021591
Orange Christian School,Orange,2800,Co-ed,Combined,-33.298781,149.089093,103041077
Tuntable Falls Community Primary School,Nimbin,2480,Co-ed,Primary,-28.578561,153.279734,112021249
St Joseph's Catholic High School,Albion Park,2527,Co-ed,Secondary,-34.572987,150.765948,107031136
Holy Family Catholic Primary School,Ingleburn,2565,Co-ed,Primary,-34.003284,150.872938,123021440
Koinonia Christian Academy,Bourke,2840,Co-ed,Combined,-30.073809,145.956891,105011092
Northern Beaches Christian School,Terrey Hills,2084,Co-ed,Combined,-33.674045,151.201939,122031432
Penrith Christian School,Orchard Hills,2748,Co-ed,Combined,-33.785374,150.7101,124031463
St Agnes' Primary School,Port Macquarie,2444,Co-ed,Primary,-31.440467,152.897739,108041164
Masada College High School,St Ives,2075,Co-ed,Combined,-33.729757,151.166914,121031410
Inaburra School,Bangor,2234,Co-ed,Combined,-34.014572,151.025931,128021535
St John Paul College,Coffs Harbour,2450,Co-ed,Secondary,-30.323793,153.098377,104021085
St Philip's Christian College - Gosford,Narara,2250,Co-ed,Combined,-33.408273,151.333151,102011035
Mount Sinai College,Maroubra,2035,Co-ed,Primary,-33.935219,151.236805,118021568
Biala Special School,Ballina,2478,Co-ed,Special,-28.861483,153.562119,112011236
St Dominic's Centre,Mayfield,2304,Co-ed,Special,-32.895594,151.74417,111031227
Elouera Special School,Cootamundra,2590,Co-ed,Special,-34.634877,148.017776,113031263
Mater Dei School,Camden,2570,Co-ed,Special,-34.015034,150.709163,127011506
St Edmund's School,Wahroonga,2076,Co-ed,Special,-33.714226,151.126197,121031412
St Gabriel's School for Hearing Impaired Children,Castle Hill,2154,Co-ed,Special,-33.740289,150.998945,115011553
St Lucy's School,Wahroonga,2076,Co-ed,Special,-33.716771,151.120651,121031412
Aspect Hunter School,Thornton,2322,Co-ed,Special,-32.883265,151.695515,111031231
RIDBC Alice Betteridge School,North Rocks,2151,Co-ed,Special,-33.767614,151.029054,125041490
Aspect Vern Barnett School,Forestville,2087,Co-ed,Special,-33.763332,151.219315,122031427
Warrah Village Rudolf Steiner School for Curative Education,Dural,2158,Co-ed,Special,-33.702973,151.036467,115021297
Bhaktivedanta Swami Gurukula School,Eungella,2484,Co-ed,Combined,-28.353812,153.314613,112031252
Chrysalis School for Rudolf Steiner Education,Thora,2454,Co-ed,Combined,-30.43347,152.721978,104021083
St George Christian School,Hurstville,2220,Co-ed,Combined,-33.972286,151.11109,119041379
St Mary MacKillop Primary School,South Penrith,2750,Co-ed,Primary,-33.778928,150.70683,124031461
Oxley College,Burradoo,2576,Co-ed,Combined,-34.498077,150.392007,114021284
Lutheran Primary School Wagga Wagga,Wagga Wagga,2650,Co-ed,Primary,-35.154047,147.362886,113031267
Marion Catholic Primary School,Horsley Park,2175,Co-ed,Primary,-33.841231,150.850842,127021518
Mountains Christian College,Blackheath,2785,Co-ed,Combined,-33.631022,150.277271,124011449
Green Point Christian College,Green Point,2251,Co-ed,Combined,-33.461037,151.36312,102011031
St Philip's Christian College,Waratah,2298,Co-ed,Combined,-32.90305,151.723089,111031234
Wellington Christian School,Wellington,2820,Co-ed,Primary,-32.539295,148.93008,105031106
Carinya Christian School,Gunnedah,2380,Co-ed,Primary,-30.978876,150.25474,110041199
Toronto Adventist Primary School,Toronto,2283,Co-ed,Primary,-33.028602,151.565397,111021219
Belmont Christian College,Belmont North,2280,Co-ed,Combined,-33.024548,151.669596,111011206
Parkes Christian School,Parkes,2870,Co-ed,Combined,-33.119277,148.150353,103021067
Tangara School for Girls,Cherrybrook,2126,Co-ed,Combined,-33.736457,151.035696,115011558
Holy Spirit College,Bellambi,2518,Co-ed,Secondary,-34.36448,150.916451,107041145
The Hills Grammar School,Kenthurst,2156,Co-ed,Combined,-33.685772,151.013035,115021297
Northholm Grammar School,Arcadia,2159,Co-ed,Combined,-33.602911,151.053199,115021298
Southside Montessori School,Riverwood,2210,Co-ed,Primary,-33.952384,151.044309,119031373
Dubbo Christian School,Dubbo,2830,Co-ed,Combined,-32.263095,148.64441,105031101
St Peter's Anglican Primary School,Campbelltown,2560,Co-ed,Primary,-34.06686,150.817798,123021437
Cedars Christian College,Farmborough Heights,2526,Co-ed,Combined,-34.455585,150.830313,107011134
Heritage Christian School,Port Macquarie,2444,Co-ed,Combined,-31.430279,152.881802,108041164
St Paul's High School,Booragul,2284,Co-ed,Secondary,-32.9758,151.606948,111021215
Kuyper Christian School,North Richmond,2754,Co-ed,Combined,-33.566666,150.683621,124041466
St Paul's Grammar School Penrith,Cranebrook,2749,Co-ed,Combined,-33.693046,150.715082,124031458
Aspect Central Coast School,Terrigal,2260,Co-ed,Special,-33.443989,151.426892,102011039
Yanginanook School,Belrose,2085,Co-ed,Primary,-33.712408,151.214472,122031428
The Emanuel School,Randwick,2031,Co-ed,Combined,-33.907344,151.243268,118021569
Maitland Christian School,Metford,2323,Co-ed,Combined,-32.765994,151.60865,106021115
St Spyridon College,Kingsford,2032,Co-ed,Combined,-33.925404,151.224638,118021565
Sacred Heart Primary School,Mt Druitt South,2770,Co-ed,Primary,-33.773861,150.813454,116031317
Southern Highlands Christian School,Bowral,2576,Co-ed,Combined,-34.502635,150.439737,114021284
Blue Mountains Steiner School,Hazelbrook,2779,Co-ed,Primary,-33.72155,150.467986,124011453
St Charbel's College,Punchbowl,2196,Co-ed,Combined,-33.917424,151.056608,119021366
The McDonald College,North Strathfield,2137,Co-ed,Combined,-33.863434,151.088129,120011384
Nepean Christian School,Mulgoa,2745,Co-ed,Combined,-33.829562,150.655171,124031463
Oxford Falls Grammar School,Oxford Falls,2100,Co-ed,Combined,-33.739042,151.245805,122031428
International Grammar School,Ultimo,2007,Co-ed,Combined,-33.881668,151.195266,117031334
Redeemer Baptist School,North Parramatta,2151,Co-ed,Combined,-33.793639,151.017344,125041489
Moree Christian School,Moree,2400,Co-ed,Combined,-29.482677,149.83689,110031195
Carinya Christian School,Tamworth,2340,Co-ed,Combined,-31.128839,150.94033,110041202
Namoi Valley Christian School,Wee Waa,2388,Co-ed,Primary,-30.226029,149.440937,110031198
Santa Sabina College,Strathfield,2135,Female,Combined,-33.877348,151.09346,120031575
Macarthur Anglican School,Cobbitty,2570,Co-ed,Combined,-34.011465,150.721012,127011506
Aspect Western Sydney School,Wetherill Park,2164,Co-ed,Special,-33.848273,150.914952,127021519
Trinity Catholic College,Lismore,2480,Co-ed,Secondary,-28.803988,153.283205,112021248
Casimir Catholic College,Marrickville,2204,Co-ed,Secondary,-33.910917,151.149003,117021326
Macquarie University Special Education Centre,North Ryde,2113,Co-ed,Special,-33.770141,151.113104,126021500
Westmead Christian Grammar School,Westmead,2145,Co-ed,Primary,-33.816592,150.980895,125041589
Taree Christian College,Taree,2430,Co-ed,Combined,-31.888044,152.423376,108051169
Greenacre Baptist Christian Community School,Greenacre,2190,Co-ed,Combined,-33.894575,151.055674,119011357
Summerland Christian College,Goonellabah,2480,Co-ed,Combined,-28.802584,153.350286,112021246
St Dominic Savio School,Rockdale,2216,Co-ed,Primary,-33.950985,151.149577,119041381
Trinity Catholic Primary School  Murrumburrah,Murrumburrah,2587,Co-ed,Primary,-34.545455,148.348227,101061544
Central Coast Grammar School,Erina Heights,2260,Co-ed,Combined,-33.425697,151.398547,102011031
William Carey Christian School,Prestons,2170,Co-ed,Combined,-33.948963,150.850812,127031600
Freeman Catholic College,Bonnyrigg Heights,2177,Co-ed,Secondary,-33.886767,150.86297,127021509
Mary Immaculate Catholic Primary School,Bossley Park,2176,Co-ed,Primary,-33.86084,150.891374,127021510
Holy Spirit Primary School,St Clair,2759,Co-ed,Primary,-33.793637,150.781728,124051470
Northside Montessori School,Pymble,2073,Co-ed,Primary,-33.734806,151.136891,121031409
Hinterland Christian College,Mullumbimby,2482,Co-ed,Combined,-28.546397,153.486919,112011243
St John Vianney's Primary School,Doonside,2767,Co-ed,Primary,-33.758259,150.872488,116011306
Broughton Anglican College,Campbelltown,2560,Co-ed,Combined,-34.099689,150.767656,123021444
Mount Carmel Catholic College,Varroville,2565,Co-ed,Secondary,-34.009179,150.822773,123021438
Berowra Christian Community School,Berowra,2081,Co-ed,Primary,-33.62131,151.147017,121021404
Mary Immaculate Catholic Primary School,Eagle Vale,2558,Co-ed,Primary,-34.039449,150.814118,123021438
McCarthy Catholic College (Emu Plains),Emu Plains,2750,Co-ed,Secondary,-33.743107,150.67768,124031459
Bede Polding College,South Windsor,2756,Co-ed,Secondary,-33.631466,150.796143,124041467
Redfield College,Dural,2158,Male,Combined,-33.69026,151.032262,115021297
Galstaun College,Ingleside,2101,Co-ed,Combined,-33.680117,151.260962,122021421
Holy Family Catholic Primary School,Menai,2234,Co-ed,Primary,-34.018206,151.021135,128021535
Casuarina Steiner School,Coffs Harbour,2450,Co-ed,Primary,-30.292404,153.131535,104021084
All Saints Catholic Senior College,Casula,2170,Co-ed,Secondary,-33.952689,150.906217,127031522
Mary Immaculate Primary School,Quakers Hill,2763,Co-ed,Primary,-33.721073,150.903244,116021563
Corpus Christi Primary School,Cranebrook,2749,Co-ed,Primary,-33.711793,150.717982,124031458
St Madeleine's Primary School,Kenthurst,2156,Co-ed,Primary,-33.680791,151.00105,115021297
Vistara Primary School,Richmond Hill,2480,Co-ed,Primary,-28.783642,153.340038,112021249
William Branwhite Clarke College,Kellyville,2155,Co-ed,Combined,-33.711267,150.957076,115011559
Tallowood Steiner School,Bowraville,2449,Co-ed,Primary,-30.63428,152.855876,108021159
Aspect South Coast School,Corrimal,2518,Co-ed,Special,-34.363866,150.896076,107041145
Malek Fahd Islamic School,Greenacre,2190,Co-ed,Combined,-33.891215,151.060131,119011357
Cape Byron Rudolf Steiner School,Byron Bay,2481,Co-ed,Combined,-28.653663,153.560298,112011238
Marian Catholic College,Kenthurst,2156,Co-ed,Secondary,-33.681296,151.001069,115021297
Our Lady Help of Christians Catholic Primary School,Rosemeadow,2560,Co-ed,Primary,-34.100471,150.792195,123021444
The Armidale Waldorf School,Armidale,2350,Co-ed,Combined,-30.489206,151.696254,110011186
St Patrick's College,Sutherland,2232,Co-ed,Secondary,-34.033937,151.05902,128021538
Mumbulla School for Rudolf Steiner Education,Bega,2550,Co-ed,Primary,-36.6717,149.846786,101041019
Georges River Grammar,Georges Hall,2198,Co-ed,Combined,-33.910553,150.98233,119011354
St John Fisher Catholic Primary School,Tumbi Umbi,2261,Co-ed,Primary,-33.369213,151.437207,102021047
Australian Christian College - Singleton,Singleton,2330,Co-ed,Combined,-32.575911,151.182835,106011112
The Joseph Varga School,Randwick,2031,Co-ed,Special,-33.911962,151.237438,118021569
Emmaus Catholic College,Kemps Creek,2178,Co-ed,Secondary,-33.832296,150.793391,127021518
Holy Family Primary School,Parkes,2870,Co-ed,Primary,-33.132718,148.175895,103021067
St John The Evangelist Catholic High School,Nowra,2541,Co-ed,Secondary,-34.896643,150.604775,114011278
Mater Dei Primary School,Wagga Wagga,2650,Co-ed,Primary,-35.177764,147.36356,113031267
Byron Community Primary School,Byron Bay,2481,Co-ed,Primary,-28.649344,153.615671,112011240
RIDBC Garfield Barwick School,North Rocks,2151,Co-ed,Special,-33.793167,151.019701,125021478
Sacred Heart Parish Primary School,Broken Hill,2880,Co-ed,Primary,-31.952716,141.459649,105021097
Condell Park Christian School,Condell Park,2200,Co-ed,Combined,-33.922388,151.017884,119011356
John Colet School,Belrose,2085,Co-ed,Primary,-33.722921,151.214389,122031428
St Paul's International College,Moss Vale,2577,Co-ed,Secondary,-34.549718,150.36883,114021287
Lycee Condorcet - The International French School of Sydney,Maroubra Junction,2035,Co-ed,Combined,-33.934211,151.238299,118021566
Al Noori Muslim School,Greenacre,2190,Co-ed,Combined,-33.911386,151.050669,119011357
Southern Cross Baptist Church Christian School,Engadine,2233,Co-ed,Combined,-34.060272,151.006193,128021607
Coffs Harbour Bible Church School,Toormina,2452,Co-ed,Combined,-30.343747,153.090802,104021089
German International School Sydney,Terrey Hills,2084,Co-ed,Combined,-33.687411,151.22031,122031432
The Athena School,Newtown,2042,Co-ed,Combined,-33.895621,151.174767,117031332
John The Baptist Catholic Primary School,Bonnyrigg Heights,2177,Co-ed,Primary,-33.887226,150.864055,127021509
St Brendan's Catholic Primary School,Lake Munmorah,2259,Co-ed,Primary,-33.188323,151.577319,102021050
Inner Sydney Montessori School,Balmain,2041,Co-ed,Primary,-33.859123,151.184504,120021387
St Euphemia College,Bankstown,2200,Co-ed,Combined,-33.919725,151.039766,119011572
Sydney Montessori School,Gymea,2227,Co-ed,Combined,-34.037331,151.08778,128011529
Rainbow Ridge School for Steiner Education,Lillian Rock Via Nimbin,2480,Co-ed,Combined,-28.537518,153.177441,112021249
Wagga Wagga Christian College,Wagga Wagga,2650,Co-ed,Combined,-35.134005,147.390246,113031267
Armenian General Benevolent Union Alexander Primary School,Duffys Forest,2084,Co-ed,Primary,-33.6769,151.187452,122031432
Hunter Valley Grammar School,Ashtonfield,2323,Co-ed,Combined,-32.772568,151.600091,106021115
Holy Cross Catholic Primary School,Kincumber,2251,Co-ed,Primary,-33.46514,151.379892,102011034
All Saints Greek Orthodox Grammar School,Belmore,2192,Co-ed,Combined,-33.914121,151.090939,119021362
Holy Family Primary School,Luddenham,2745,Co-ed,Primary,-33.88159,150.686032,124031463
Bishop Druitt College,Coffs Harbour,2450,Co-ed,Combined,-30.305176,153.071386,104021085
Australian Islamic College of Sydney,Mount Druitt,2770,Co-ed,Combined,-33.758994,150.819313,116031317
St Joseph's College,Banora Point,2486,Co-ed,Secondary,-28.211223,153.553347,112031550
St Francis of Assisi Primary School,Glendenning,2761,Co-ed,Primary,-33.737688,150.852188,116031314
St Joseph's School,Glen Innes,2370,Co-ed,Primary,-29.738046,151.738593,110021190
McAuley Catholic College,Clarenza Via Grafton,2460,Co-ed,Secondary,-29.694422,152.935128,104011080
St Brigid's Catholic Primary School,Coogee,2034,Co-ed,Primary,-33.919921,151.252785,118021348
Trinity Catholic Primary School,Kemps Creek,2178,Co-ed,Primary,-33.831893,150.789217,127021518
Scone Grammar School,Scone,2337,Co-ed,Combined,-32.051655,150.861929,106041128
De La Salle Catholic College  Cronulla,Cronulla,2230,Co-ed,Secondary,-34.055592,151.143328,128011606
McAuley Catholic Central School,Tumut,2720,Co-ed,Combined,-35.303429,148.221992,113021261
St Laurence's Primary School,Forbes,2871,Co-ed,Primary,-33.379309,148.008506,103021065
St Gregory's Primary School,Queanbeyan,2620,Co-ed,Primary,-35.352175,149.240905,101021010
All Saints College,Maitland,2320,Co-ed,Secondary,-32.73784,151.559996,106021114
Aquinas Catholic College,Menai,2234,Co-ed,Secondary,-34.01997,151.021315,128021535
St Edward's Primary School,Tamworth,2340,Co-ed,Primary,-31.112464,150.907992,110041202
Richmond Christian College,Ballina,2478,Co-ed,Combined,-28.84778,153.545439,112011236
St Peter's Primary School,Port Macquarie,2444,Co-ed,Primary,-31.456617,152.891881,108041163
St Clare's Catholic Primary School,Narellan Vale,2567,Co-ed,Primary,-34.047474,150.748107,123011435
Wyong Christian Community School,Wyong,2259,Co-ed,Combined,-33.277464,151.415148,102021057
Bethany Catholic Primary School,Glenmore Park,2745,Co-ed,Primary,-33.78701,150.670768,124031460
Chisholm Catholic Primary School,Bligh Park,2756,Co-ed,Primary,-33.632777,150.802921,124041467
Bethany College,Hurstville,2220,Female,Secondary,-33.961833,151.113118,119041376
St Francis Xavier Primary School,Woolgoolga,2456,Co-ed,Primary,-30.115154,153.201313,104021091
Central Coast Rudolf Steiner School,Fountaindale,2258,Co-ed,Combined,-33.339168,151.39562,102021051
St Luke's Grammar School,Dee Why,2099,Co-ed,Combined,-33.759833,151.283881,122031426
St Mark's Coptic Orthodox College,Wattle Grove,2173,Co-ed,Combined,-33.955243,150.943183,127031524
Sapphire Coast Anglican College,Bega,2550,Co-ed,Combined,-36.701219,149.838623,101041019
St Mary - St Joseph Catholic Primary School,Maroubra Beach,2035,Co-ed,Primary,-33.947473,151.252331,118021567
Hawkesbury Independent School,Kurrajong,2758,Co-ed,Primary,-33.526659,150.691887,115031300
Shearwater  The Mullumbimby Steiner School,Mullumbimby,2482,Co-ed,Combined,-28.548325,153.4965,112011243
St Joseph's Primary School,Wagga Wagga,2650,Co-ed,Primary,-35.107392,147.372628,113031270
Carroll College,Broulee,2537,Co-ed,Secondary,-35.822058,150.187785,101041021
Australian International Academy  Sydney  Strathfield Campus,Strathfield,2135,Co-ed,Combined,-33.891742,151.089845,120031576
St Philip's Christian College - Port Stephens,Salamander Bay,2317,Co-ed,Combined,-32.740585,152.092941,106031121
Trinity Catholic College,Auburn,2144,Co-ed,Secondary,-33.850411,151.02985,125011582
MacKillop College Port Macquarie,Port Macquarie,2444,Co-ed,Secondary,-31.454628,152.896503,108041163
St Joseph's Primary School,Tweed Heads,2485,Co-ed,Primary,-28.171253,153.540751,112031254
St James Primary School,Banora Point,2486,Co-ed,Primary,-28.222412,153.543376,112031550
Casino Christian School,North Casino,2470,Co-ed,Combined,-28.811971,153.072893,112021244
Illawarra Christian School,Cordeaux Heights,2526,Co-ed,Combined,-34.443449,150.830377,107011134
Mt Carmel School,Yass,2582,Co-ed,Primary,-34.841933,148.909396,101061541
St James Primary School,Yamba,2464,Co-ed,Primary,-29.43248,153.333744,104011082
Holy Family Catholic Primary School,Skennars Head,2478,Co-ed,Primary,-28.827809,153.599632,112011242
St John Paul II Catholic College (Schofields),Schofields,2762,Co-ed,Secondary,-33.705273,150.89196,116021312
St Joseph's Primary School,Schofields,2762,Co-ed,Primary,-33.705112,150.888942,116021312
Al Zahra College,Arncliffe,2205,Co-ed,Combined,-33.933688,151.148249,119041375
M.E.T. School,Oatlands,2117,Co-ed,Combined,-33.786334,151.032344,125021478
Nazareth Catholic Primary School,Shellharbour City Centre,2529,Co-ed,Primary,-34.568738,150.835526,107031142
Fr John Therry Catholic Primary School,Balmain,2041,Co-ed,Primary,-33.859081,151.183417,120021387
Burrabadine Cornerstone Christian School,Dubbo,2830,Co-ed,Primary,-32.226374,148.593516,105031102
Montessori East,Bondi,2026,Co-ed,Primary,-33.893029,151.263958,118011339
Amity College,Prestons,2170,Co-ed,Combined,-33.941944,150.874328,127031600
Rissalah College,Lakemba,2195,Co-ed,Primary,-33.926819,151.080217,119021573
Minimbah Primary School,Armidale,2350,Co-ed,Primary,-30.525401,151.655627,110011186
Snowy Mountains Christian School,Cooma North,2630,Co-ed,Combined,-36.22095,149.129845,101031014
Aim Senior Secondary Music College,Surry Hills,2010,Co-ed,Secondary,-33.883321,151.208645,117031336
Al Faisal College,Auburn,2144,Co-ed,Combined,-33.854755,151.031559,125011582
Good Samaritan Catholic College,Hinchinbrook,2168,Co-ed,Secondary,-33.926134,150.860114,127011596
Good Shepherd Catholic Primary School,Hoxton Park,2171,Co-ed,Primary,-33.93018,150.862437,127011596
Giant Steps Sydney,Gladesville,2111,Co-ed,Special,-33.837903,151.128438,126021498
Deniliquin Christian School,Deniliquin,2710,Co-ed,Combined,-35.536532,144.950973,109031182
Nambucca Valley Christian Community School,Nambucca Heads,2448,Co-ed,Combined,-30.642285,152.983626,108021158
Snowy Mountains Grammar School,Jindabyne,2627,Co-ed,Combined,-36.416819,148.61053,101031016
Al Amanah College,Bankstown,2200,Co-ed,Combined,-33.916443,151.028213,119011571
St Bishoy Coptic Orthodox College,Mount Druitt,2770,Co-ed,Combined,-33.762203,150.827357,116031317
Emmanuel Anglican College,West Ballina,2478,Co-ed,Combined,-28.859541,153.532927,112011236
Magdalene Catholic High School,Narellan,2567,Co-ed,Secondary,-34.045062,150.759756,123011435
