"","STAT_UNIT","UNIT_MEASURE","EDU_LEVEL","EDU_CAT","SEX","AGE","GRADE","SECTOR_EDU","EDU_ATTAIN","WEALTH_QUINTILE","LOCATION","EDU_TYPE","EDU_FIELD","SUBJECT","INFRASTR","SE_BKGRD","TEACH_EXPERIENCE","CONTRACT_TYPE","COUNTRY_ORIGIN","REGION_DEST","IMM_STATUS","REF_AREA","TIME_PERIOD","OBS_VALUE","UNIT_MULT","OBS_STATUS","FREQ","DECIMALS"
"75","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","AO","2016","NaN","0","X","A","5"
"76","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","ZA","2016","42","0","A","A","5"
"77","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","MG","2016","0","0","A","A","5"
"78","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","MC","2017","0","0","A","A","5"
"79","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","LK","2016","15","0","A","A","5"
"80","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","LK","2017","11","0","A","A","5"
"81","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","AU","2016","0","0","Z","A","5"
"82","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","AU","2017","0","0","Z","A","5"
"83","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","LC","2016","1","0","A","A","5"
"84","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","LC","2017","0","0","A","A","5"
"85","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","BI","2016","0","0","A","A","5"
"86","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","BI","2017","0","0","A","A","5"
"87","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","BG","2016","4","0","A","A","5"
"88","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","BE","2016","49","0","A","A","5"
"89","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","LT","2016","4","0","A","A","5"
"90","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","LV","2016","2","0","A","A","5"
"91","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","LV","2017","0","0","A","A","5"
"92","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","MA","2016","3","0","A","A","5"
"93","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","MA","2017","3","0","A","A","5"
"94","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","PS","2016","0","0","A","A","5"
"95","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","PS","2017","0","0","A","A","5"
"96","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","EE","2016","3","0","A","A","5"
"97","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","SV","2016","1","0","A","A","5"
"98","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","SV","2017","1","0","A","A","5"
"99","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","HR","2016","0","0","A","A","5"
"100","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","AL","2016","0","0","A","A","5"
"101","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","AL","2017","0","0","A","A","5"
"102","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","CL","2016","1","0","A","A","5"
"103","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","CL","2017","0","0","A","A","5"
"104","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","UZ","2016","0","0","A","A","5"
"105","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","UZ","2017","0","0","A","A","5"
"106","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","CI","2016","0","0","A","A","5"
"107","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","MX","2016","NaN","0","X","A","5"
"108","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","MX","2017","NaN","0","X","A","5"
"109","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","NA","2016","0","0","A","A","5"
"110","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","MY","2016","206","0","A","A","5"
"111","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","MY","2017","126","0","A","A","5"
"112","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","MZ","2016","3","0","A","A","5"
"113","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","MZ","2017","0","0","A","A","5"
"114","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","HU","2016","32","0","A","A","5"
"115","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","SN","2016","NaN","0","X","A","5"
"116","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","SN","2017","NaN","0","X","A","5"
"117","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","GR","2016","32","0","A","A","5"
"118","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","QA","2016","28","0","A","A","5"
"119","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","QA","2017","30","0","A","A","5"
"120","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","EC","2016","2","0","A","A","5"
"121","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","DZ","2016","NaN","0","X","A","5"
"122","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","DZ","2017","NaN","0","X","A","5"
"123","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","HK","2016","19","0","A","A","5"
"124","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","HK","2017","20.73300","0","A","A","5"
