"","STAT_UNIT","UNIT_MEASURE","EDU_LEVEL","EDU_CAT","SECTOR_EDU","EXPENDITURE_TYPE","SOURCE_FUND","FUND_FLOW","TEACH_EXPERIENCE","CONTRACT_TYPE","REF_AREA","TIME_PERIOD","OBS_VALUE","UNIT_MULT","FREQ","DECIMALS","OBS_STATUS"
"21310","EDU_EXP","USD","L2T4","C5","_T","_T","GOV","_T","_Z","_Z","CK","2016","0","0","A","5","Z"
"21311","EDU_EXP","USD_CONST","L2T4","C5","_T","_T","GOV","_T","_Z","_Z","TG","2016","13.27885","0","A","5","A"
"21312","XUNIT","GDP_CAP","L3","_T","_T","CUR","GOV","FFNTP","_Z","_Z","SS","2016","27.98444","0","A","5","A"
"21313","EDU_EXP","EXP_T","L02","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","AW","2016","94.85041","0","A","5","A"
"21314","EDU_EXP","EXP_T","L2","_T","INST_PUB","CUR_COMPT","GOV","FFNTP","_T","_T","MM","2017","74.25783","0","A","5","A"
"21315","XUNIT","PPP","L2_3","_T","_T","CUR","GOV","FFNTP","_Z","_Z","PK","2016","477.11772","0","A","5","A"
"21316","EDU_EXP","GDP","L5T8","_T","INST_T","_T","GOV","_T","_Z","_Z","AL","2016","0.75528","0","A","5","A"
"21317","EDU_EXP","EXP_T","L1","_T","INST_PUB","CUR_COMPO","GOV","FFNTP","_Z","_Z","DZ","2016","3.92742","0","A","5","A"
"21318","XUNIT","USD_CONST","L5T8","_T","_T","_T","GOV","FFNTR","_Z","_Z","OM","2016","6412.53034","0","A","5","A"
"21319","EDU_EXP","USD_CONST","L5T8","_T","_T","_T","GOV","_T","_Z","_Z","GE","2016","60.32598","0","A","5","A"
"21320","EDU_EXP","USD_CONST","L5T8","_T","_T","_T","GOV","_T","_Z","_Z","GE","2017","58.26402","0","A","5","A"
"21321","EDU_EXP","EXP_T","L02","_T","INST_PUB","CUR_COMPO","GOV","FFNTP","_Z","_Z","BF","2016","19.41804","0","A","5","A"
"21322","EDU_EXP","CUR_EXP","L3","_T","INST_PUB","CUR_COMPO","GOV","FFNTP","_Z","_Z","BN","2016","19.92917","0","A","5","A"
"21323","EDU_EXP","GDP","L5T8","_T","_T","_T","HH","_T","_Z","_Z","NU","2016","0","0","A","5","Z"
