sex,age,sa2_code,region,time,value
Males,50 - 54,110041202,Tamworth - East,2016,609
Males,70 - 74,124031459,Emu Plains - Leonay,2016,307
Females,70 - 74,101041018,Batemans Bay - South,2016,357
Males,45 - 49,120031393,Croydon Park - Enfield,2016,605
Females,55 - 59,124031462,Kingswood - Werrington,2016,492
Females,65 - 69,117011322,Mascot - Eastlakes,2016,455
Females,60 - 64,113011258,Leeton,2016,260
Males,40 - 44,106041126,Muswellbrook,2016,397
Males,60 - 64,108031161,Lord Howe Island,2016,16
Females,60 - 64,103011061,Oberon,2016,176
Females,5 - 9,105031106,Wellington,2016,282
Females,15 - 19,103031075,Wollangambe - Wollemi,2016,0
Females,20 - 24,106021117,Maitland - West,2016,874
Males,25 - 29,106011108,Cessnock,2016,844
Males,5 - 9,102011030,Calga - Kulnura,2016,116
Females,5 - 9,102021057,Wyong,2016,301
Females,30 - 34,117021328,Sydenham - Tempe - St Peters,2016,461
Females,85 and over,125041489,North Parramatta,2016,300
Females,45 - 49,125041488,Girraween - Westmead,2016,766
Males,50 - 54,117031337,Sydney - Haymarket - The Rocks,2016,624
Females,75 - 79,103031070,Lithgow,2016,312
Males,0 - 4,127031524,Holsworthy - Wattle Grove,2016,901
Males,35 - 39,119031371,Oatley - Hurstville Grove,2016,384
Males,45 - 49,108041165,Port Macquarie Region,2016,182
Males,25 - 29,114021288,Robertson - Fitzroy Falls,2016,73
Males,55 - 59,103021063,Cowra,2016,298
Males,25 - 29,124031458,Castlereagh - Cranebrook,2016,1068
Females,30 - 34,103021066,Grenfell,2016,72
Males,60 - 64,115031299,Bilpin - Colo - St Albans,2016,86
Males,40 - 44,115011295,Kellyville,2016,1182
Females,30 - 34,126021502,Ryde - Putney,2016,1443
Males,40 - 44,101031013,Bombala,2016,70
Females,70 - 74,118021350,Malabar - La Perouse - Chifley,2016,545
Females,35 - 39,119021366,Punchbowl,2016,699
Females,80 - 84,127011504,Ashcroft - Busby - Miller,2016,202
Females,5 - 9,121021406,Normanhurst - Thornleigh - Westleigh,2016,703
Females,25 - 29,108041166,Wauchope,2016,282
Females,40 - 44,113031264,Gundagai,2016,108
Males,15 - 19,104021090,Urunga,2016,146
Males,85 and over,105011094,Coonamble,2016,32
Males,70 - 74,102011028,Avoca Beach - Copacabana,2016,143
Males,70 - 74,110041202,Tamworth - East,2016,413
Females,5 - 9,118021351,Maroubra,2016,849
Males,70 - 74,109031181,Corowa Region,2016,242
Males,65 - 69,111011211,Redhead,2016,101
Males,75 - 79,117031336,Surry Hills,2016,158
Females,40 - 44,113021262,Tumut Region,2016,141
Males,80 - 84,116011308,Seven Hills - Toongabbie,2016,147
Males,5 - 9,114011279,St Georges Basin - Erowal Bay,2016,444
Females,20 - 24,119011356,Condell Park,2016,465
Males,55 - 59,121011400,Lane Cove - Greenwich,2016,796
Females,80 - 84,117031330,Erskineville - Alexandria,2016,66
Females,30 - 34,112031250,Kingscliff - Fingal Head,2016,378
Males,20 - 24,103021062,Condobolin,2016,197
Males,20 - 24,123011433,Camden - Ellis Lane,2016,410
Females,85 and over,109021177,Hay,2016,21
Females,45 - 49,123031445,Bargo,2016,191
Females,50 - 54,108021157,Macksville - Scotts Head,2016,162
Females,25 - 29,111011211,Redhead,2016,57
Males,50 - 54,117031330,Erskineville - Alexandria,2016,537
Females,35 - 39,122031427,Forestville - Killarney Heights,2016,439
Males,55 - 59,120031391,Burwood - Croydon,2016,700
Males,50 - 54,101021010,Queanbeyan - East,2016,189
Males,10 - 14,102021046,Budgewoi - Buff Point - Halekulani,2016,299
Females,30 - 34,117021327,Petersham - Stanmore,2016,1233
Females,35 - 39,112031253,Pottsville,2016,457
Males,30 - 34,114011283,Ulladulla Region,2016,95
Females,0 - 4,101011005,Young,2016,371
Females,10 - 14,106031122,Raymond Terrace,2016,431
Females,50 - 54,119041382,Sans Souci - Ramsgate,2016,583
Males,30 - 34,108011153,Forster-Tuncurry Region,2016,104
Females,40 - 44,127021515,Fairfield,2016,615
Females,10 - 14,107031143,Warilla,2016,549
Males,0 - 4,104011081,Grafton Region,2016,400
Males,0 - 4,110041205,Tamworth Region,2016,595
Females,10 - 14,121021405,Hornsby - Waitara,2016,817
Females,75 - 79,120011385,Drummoyne - Rodd Point,2016,303
Females,0 - 4,107031140,Kiama Hinterland - Gerringong,2016,214
Males,55 - 59,127021519,Smithfield - Wetherill Park,2016,580
Males,40 - 44,112011236,Ballina,2016,445
Females,25 - 29,125011473,Homebush Bay - Silverwater,2016,1304
Males,85 and over,106021117,Maitland - West,2016,112
Females,20 - 24,110041200,Gunnedah Region,2016,105
Females,30 - 34,103021067,Parkes (NSW),2016,372
Males,75 - 79,101021011,Queanbeyan Region,2016,162
Females,10 - 14,124011451,Blue Mountains - North,2016,1
Females,50 - 54,106041126,Muswellbrook,2016,401
Males,25 - 29,110041201,Quirindi,2016,195
Females,65 - 69,127021511,Cabramatta - Lansvale,2016,502
Females,75 - 79,103021068,Parkes Region,2016,52
Males,10 - 14,102011037,Point Clare - Koolewong,2016,209
Females,80 - 84,102021054,Toukley - Norah Head,2016,240
Males,25 - 29,119031373,Riverwood,2016,524
Males,55 - 59,103021068,Parkes Region,2016,157
Females,75 - 79,118011346,Rose Bay - Vaucluse - Watsons Bay,2016,195
Males,45 - 49,114021289,Southern Highlands,2016,209
Females,15 - 19,125041488,Girraween - Westmead,2016,664
Females,25 - 29,118021350,Malabar - La Perouse - Chifley,2016,725
Males,30 - 34,105031103,Dubbo Region,2016,146
Females,75 - 79,125011472,Auburn,2016,336
Males,35 - 39,125031479,Chester Hill - Sefton,2016,579
Females,55 - 59,107031139,Kiama Downs - Minnamurra,2016,287
Males,65 - 69,127021513,Canley Vale - Canley Heights,2016,391
Females,10 - 14,117031333,Potts Point - Woolloomooloo,2016,105
Males,35 - 39,117031331,Glebe - Forest Lodge,2016,914
Males,65 - 69,108051171,Wingham,2016,172
Males,45 - 49,103021065,Forbes,2016,315
Males,25 - 29,108021156,Kempsey Region,2016,174
Males,25 - 29,102011028,Avoca Beach - Copacabana,2016,183
Females,30 - 34,115011291,Baulkham Hills (West) - Bella Vista,2016,605
Males,10 - 14,119011357,Greenacre - Mount Lewis,2016,1090
Females,35 - 39,127011508,Hoxton Park - Horningsea Park,2016,1108
Females,85 and over,117031334,Pyrmont - Ultimo,2016,80
Males,60 - 64,111011206,Belmont - Bennetts Green,2016,575
Males,45 - 49,110021194,Tenterfield,2016,188
Males,70 - 74,107041145,Corrimal - Tarrawanna - Bellambi,2016,285
Females,65 - 69,122031424,Beacon Hill - Narraweena,2016,348
Males,25 - 29,101021011,Queanbeyan Region,2016,454
Males,50 - 54,124011455,Wentworth Falls,2016,200
Females,20 - 24,110011189,Walcha,2016,72
Males,25 - 29,114021284,Bowral,2016,186
Males,25 - 29,113011257,Griffith Region,2016,435
Males,80 - 84,105031100,Dubbo - East,2016,66
Females,70 - 74,123031445,Bargo,2016,96
Females,40 - 44,120031392,Canterbury (North) - Ashbury,2016,450
Females,60 - 64,101021009,Queanbeyan,2016,278
Males,40 - 44,118021350,Malabar - La Perouse - Chifley,2016,1049
Females,10 - 14,122021420,Avalon - Palm Beach,2016,414
Females,5 - 9,105031103,Dubbo Region,2016,196
Males,25 - 29,108021158,Nambucca Heads,2016,134
Females,25 - 29,116011306,Doonside - Woodcroft,2016,918
Males,75 - 79,110021194,Tenterfield,2016,150
Females,20 - 24,108041166,Wauchope,2016,269
Females,5 - 9,109011175,Albury Region,2016,455
Males,25 - 29,109031180,Corowa,2016,131
Males,70 - 74,125041490,North Rocks,2016,199
Males,45 - 49,113031265,Junee,2016,249
Males,15 - 19,120031395,Haberfield - Summer Hill,2016,369
Males,5 - 9,101011005,Young,2016,434
