SA2_CODE,ENG_NOT_WELL,ENG_ONLY,ENG_UNKNOWN,ENG_V_WELL,ENG_WELL,ENG_NOT_WELL_CHILD,ENG_NOT_WELL_RETIRED,ENG_NOT_WELL_WORKING_AGE,ENG_ONLY_CHILD,ENG_ONLY_RETIRED,ENG_ONLY_WORKING_AGE,ENG_UNKNOWN_CHILD,ENG_UNKNOWN_RETIRED,ENG_UNKNOWN_WORKING_AGE,ENG_V_WELL_CHILD,ENG_V_WELL_RETIRED,ENG_V_WELL_WORKING_AGE,ENG_WELL_CHILD,ENG_WELL_RETIRED,ENG_WELL_WORKING_AGE,PERC_ENG_ONLY,PERC_ENG_NOT_WELL,ENG_PROFICIENT
125041491,927,8459,1906,6605,2507,270,158,499,1922,1490,5047,613,266,1027,1087,206,5312,423,160,1924,0.41457557341697704,0.045432268182709276,17571
125041492,2500,5519,3669,11186,6326,598,396,1506,1137,476,3906,1018,363,2288,1412,146,9628,866,250,5210,0.1890068493150685,0.08561643835616438,23031
125041493,988,11766,1339,5599,2297,154,262,572,2463,2491,6812,340,295,704,961,406,4232,276,302,1719,0.5350857246805221,0.04493155668743463,19662
125041494,278,7789,288,1780,614,45,83,150,1923,1443,4423,80,84,124,266,169,1345,54,123,437,0.7246255465624709,0.025862870964740905,10183
125041588,845,4081,1020,4791,2121,155,205,485,985,864,2232,323,208,489,1095,219,3477,316,235,1570,0.3173899517809924,0.06571784103282004,10993
125041589,1119,4146,1205,6305,2813,220,267,632,1030,673,2443,379,222,604,1193,202,4910,446,265,2102,0.2659738260200154,0.07178598922247884,13264
126011495,2027,11775,1509,7411,4377,380,284,1363,2163,2376,7236,400,421,688,1279,358,5774,501,270,3606,0.4345178788885199,0.07479980811100041,23563
126011496,627,13707,927,3747,1446,122,191,314,2827,2657,8223,155,381,391,635,294,2818,189,155,1102,0.6701378703432092,0.03065415077735406,18900
126021497,2565,9622,1806,6469,4564,346,500,1719,1808,1832,5982,360,510,936,1147,425,4897,450,366,3748,0.3844801406537201,0.10249340685686886,20655
126021498,447,9964,847,2281,858,40,231,176,2062,1529,6373,160,199,488,259,256,1766,47,241,570,0.692088629575606,0.03104813502813086,13103
126021499,202,7895,552,1288,344,34,99,69,1686,1625,4584,109,132,311,154,257,877,26,106,212,0.7679214084233051,0.01964789417371851,9527
126021500,1390,8470,1538,6028,4283,230,295,865,1193,1682,5595,308,387,843,703,303,5022,329,315,3639,0.39016076281726475,0.0640287438389608,18781
126021501,480,7432,548,2674,1139,57,198,225,1595,1257,4580,112,149,287,381,244,2049,101,245,793,0.6055569135500692,0.03911024199462234,11245
126021503,1432,8075,1247,5405,3226,251,290,891,1540,1109,5426,349,225,673,688,213,4504,293,270,2663,0.41655919525406243,0.0738715501676554,16706
126021590,104,2761,160,829,266,3,53,48,628,403,1730,36,29,95,117,76,636,20,77,169,0.6701456310679612,0.02524271844660194,3856
126021591,1614,12969,1935,6835,3785,272,464,878,2688,1970,8311,458,426,1051,882,468,5485,292,603,2890,0.4778907804554499,0.05947380057483971,23589
127011504,1595,7154,2171,4424,2016,190,287,1118,1860,1123,4171,559,350,1262,1253,140,3031,342,224,1450,0.4120967741935484,0.0918778801843318,13594
127011505,481,4992,954,1809,682,37,222,222,1085,624,3283,194,246,514,282,220,1307,71,267,344,0.5597667638483965,0.05393586005830904,7483
127011506,434,11884,1490,3130,937,97,108,229,3117,1085,7682,388,182,920,516,199,2415,136,192,609,0.6648391608391608,0.02427972027972028,15951
127011592,0,31,3,0,3,0,0,0,3,6,22,0,0,3,0,0,0,0,0,3,0.8378378378378378,0,34
127011593,472,2747,422,2508,879,40,151,281,847,97,1803,102,60,260,393,124,1991,60,148,671,0.3908651109846329,0.06715993170176437,6134
127011594,1528,3496,921,4533,2017,150,306,1072,1109,166,2221,228,188,505,914,172,3447,239,295,1483,0.27979191676670667,0.1222889155662265,10046
127011595,989,4201,745,4621,1731,128,225,636,1268,166,2767,246,104,395,974,152,3495,185,237,1309,0.3419060795963213,0.0804915764629283,10553
127011596,675,4630,714,4193,1394,113,171,391,1614,167,2849,226,98,390,839,128,3226,181,163,1050,0.39893158711011545,0.058159572634844045,10217
127011597,748,6856,911,5054,1600,125,200,423,2470,185,4201,301,99,511,912,167,3975,223,210,1167,0.4519744215175687,0.049311094996374184,13510
127021509,2552,3850,1289,5385,2881,179,640,1733,1237,242,2371,276,349,664,1105,164,4116,301,409,2171,0.2412734223224917,0.15992981136805165,12116
127021510,1781,6941,1140,6041,2891,164,618,999,1586,569,4786,231,304,605,1022,512,4507,327,708,1856,0.36931999574332236,0.09476428647440673,15873
127021511,6372,3630,3341,6188,5194,506,1087,4779,1173,558,1899,588,1023,1730,1482,169,4537,693,448,4053,0.14681496461071789,0.2577148634984833,15012
127021512,2715,5039,1711,5001,2772,238,558,1919,1413,769,2857,398,384,929,1114,205,3682,390,348,2034,0.292319294581738,0.15750087017055342,12812
127021513,4447,3809,2289,5989,4276,379,770,3298,1171,564,2074,505,649,1135,1354,170,4465,581,408,3287,0.1830370014416146,0.21369533877943298,14074
127021514,1181,2939,616,3299,1738,98,316,767,764,144,2031,142,137,337,607,197,2495,163,305,1270,0.30072649135372964,0.12084313926122991,7976
127021515,3466,3038,2277,5018,3902,326,708,2432,900,381,1757,473,552,1252,1185,192,3641,493,490,2919,0.17162872154115585,0.19580814643240496,11958
127021516,3043,4494,1841,5849,3851,292,603,2148,1212,750,2532,439,439,963,1382,282,4185,546,580,2725,0.2355592829437048,0.15950309256735506,14194
127021517,1127,2008,611,3011,1605,78,352,697,540,204,1264,138,147,326,621,195,2195,208,366,1031,0.2401339392489835,0.13477636928964362,6624
127021518,184,2357,444,1080,373,22,84,78,522,269,1566,64,131,249,125,153,802,25,188,160,0.5310950878774222,0.04146011716989635,3810
127021519,1961,6367,1588,5168,2966,187,617,1157,1528,861,3978,356,437,795,1012,371,3785,387,695,1884,0.35274238227146815,0.1086426592797784,14501
127021520,1856,2351,814,3640,2164,142,639,1075,658,218,1475,154,263,397,678,222,2740,214,490,1460,0.2171824480369515,0.17145496535796767,8155
127021521,4,6,0,4,3,0,4,0,0,3,3,0,0,0,0,0,4,0,0,3,0.35294117647058826,0.23529411764705882,13
127031522,954,6259,1279,5203,1939,121,271,562,1687,712,3860,330,211,738,1009,285,3909,214,363,1362,0.4003454010489958,0.061020851989254186,13401
127031523,828,10428,1057,4781,1647,122,310,396,2667,1474,6287,297,233,527,859,280,3642,204,348,1095,0.5564270850008004,0.04418120697935009,16856
127031524,463,13548,955,4325,1410,106,139,218,3512,1164,8872,235,101,619,680,192,3453,165,215,1030,0.6544611371431331,0.022366069272015846,19283
127031598,3267,6041,4792,8135,4885,457,658,2152,1497,921,3623,1264,753,2775,1812,347,5976,681,523,3681,0.22275073746312685,0.1204646017699115,19061
127031599,1062,4394,1333,3269,1600,165,215,682,1051,757,2586,338,243,752,898,141,2230,288,218,1094,0.3769085606450506,0.09109624292331446,9263
