SA2_MAINCODE_2016,SA2_NAME_2016,IS_SYDNEY,IS_SUA,TOTAL_POP,LAB_FORCE,PERC_LAB_FORCE
104021083,Bellingen,0,0,6007,2437,0.4056933577492925
104021090,Urunga,0,0,4739,1923,0.4057818105085461
104021087,Dorrigo,0,0,3262,1288,0.3948497854077253
108021159,Nambucca Heads Region,0,0,7808,3053,0.3910092213114754
109031185,Tocumwal - Finley - Jerilderie,0,0,9902,4017,0.4056756210866492
116031314,Glendenning - Dean Park,1,1,8645,4207,0.48663967611336034
116021312,Riverstone - Marsden Park,1,1,17811,8886,0.4989051709617652
116011304,Blacktown (North) - Marayong,1,1,18627,8638,0.4637354378053363
116021563,Quakers Hill,1,1,23687,12652,0.5341326465994005
116011303,Blacktown (East) - Kings Park,1,1,17519,8491,0.484673782750157
116021309,Glenwood,1,1,16668,8927,0.5355771538276938
116021562,Acacia Gardens,1,1,3962,2181,0.5504795557799091
116021310,Parklea - Kellyville Ridge,1,1,33807,16890,0.49960067441654094
107041144,Balgownie - Fairy Meadow,0,1,21858,9738,0.44551194070820754
107041145,Corrimal - Tarrawanna - Bellambi,0,1,15955,7116,0.446004387339392
107041548,Wollongong - East,0,1,14619,6871,0.47000478828921266
107041146,Figtree - Keiraville,0,1,21816,9994,0.4581041437477081
107041549,Wollongong - West,0,1,17420,8057,0.4625143513203215
116011306,Doonside - Woodcroft,1,1,23273,11104,0.47711940875692865
116011561,Blacktown (West),1,1,16648,7835,0.4706271023546372
116011560,Blacktown (South),1,1,12752,5929,0.4649466750313676
116011308,Seven Hills - Toongabbie,1,1,24783,11809,0.47649598515111163
116031316,Lethbridge Park - Tregear,1,1,21283,7920,0.37212798947516795
116031317,Mount Druitt - Whalan,1,1,23501,8941,0.3804518956640143
116031313,Bidwill - Hebersham - Emerton,1,1,18948,6630,0.3499050031665611
116031319,Rooty Hill - Minchinbury,1,1,21876,10580,0.48363503382702505
116031315,Hassall Grove - Plumpton,1,1,21315,10539,0.4944405348346235
103021069,West Wyalong,0,0,5997,2619,0.4367183591795898
113011257,Griffith Region,0,0,13185,6470,0.490709139173303
103041076,Blayney,0,0,7355,3430,0.4663494221617947
124011449,Blackheath - Megalong Valley,1,0,5745,2442,0.425065274151436
124011452,Katoomba - Leura,1,1,13563,5952,0.43884096438840964
124011455,Wentworth Falls,1,1,6195,2651,0.42792574656981436
124011453,Lawson - Hazelbrook - Linden,1,1,11514,5627,0.48870939725551504
124011454,Springwood - Winmalee,1,1,22144,10992,0.4963872832369942
124011450,Blaxland - Warrimoo - Lapstone,1,1,19448,9910,0.5095639654463184
115031299,Bilpin - Colo - St Albans,1,0,2795,1275,0.4561717352415027
105011095,Nyngan - Warren,0,0,5096,2228,0.43720565149136575
105011092,Bourke - Brewarrina,0,0,4185,1559,0.372520908004779
105011093,Cobar,0,0,4783,2144,0.4482542337445118
101061544,Young Region,0,0,7396,3269,0.4419956733369389
101061542,Yass Region,0,0,11831,6189,0.5231172343842447
117011322,Mascot - Eastlakes,1,1,25605,13048,0.5095879710993947
117011321,Botany,1,1,11281,5859,0.5193688502792305
117011323,Pagewood - Hillsdale - Daceyville,1,1,11857,5387,0.45433077506957914
105011096,Walgett - Lightning Ridge,0,0,6629,2430,0.3665711268667974
105021097,Broken Hill,0,1,18114,7572,0.4180192116594899
120031575,Strathfield,1,1,26294,13520,0.5141857457975203
112011243,Mullumbimby,0,0,8398,3394,0.40414384377232676
112011238,Bangalow,0,0,6006,2711,0.45138195138195136
112011239,Brunswick Heads - Ocean Shores,0,0,8602,3748,0.435712624970937
112011240,Byron Bay,0,0,10203,4573,0.44820150935999215
103041078,Orange - North,0,1,20196,9845,0.4874727668845316
103021065,Forbes,0,0,10404,4418,0.4246443675509419
105031106,Wellington,0,0,9060,3168,0.34966887417218545
103021064,Cowra Region,0,0,5519,2394,0.433774234462765
105031103,Dubbo Region,0,0,5713,2895,0.5067390162786627
103021068,Parkes Region,0,0,3420,1471,0.4301169590643275
123011433,Camden - Ellis Lane,1,1,13273,6466,0.48715437354026975
123011434,Elderslie - Harrington Park,1,1,21538,11268,0.5231683536075773
123011435,Mount Annan - Currans Hill,1,1,29329,16019,0.5461829588461932
127011506,Cobbitty - Leppington,1,1,18363,9258,0.5041659859500082
123021438,Claymore - Eagle Vale - Raby,1,1,20924,10174,0.48623590135729305
123021443,Minto - St Andrews,1,1,20502,9650,0.47068578675251194
123021440,Ingleburn - Denham Court,1,1,20715,9782,0.4722181993724354
123021442,Macquarie Fields - Glenfield,1,1,24274,10529,0.4337562824421191
123021441,Leumeah - Minto Heights,1,1,16962,8109,0.47806862398302086
123021437,Campbelltown - Woodbine,1,1,18741,8545,0.455952190384718
123021436,Bradbury - Wedderburn,1,1,19523,8439,0.4322593863648005
123021444,Rosemeadow - Glen Alpine,1,1,21362,9963,0.466388914895609
107041147,Helensburgh,0,1,9096,4810,0.5288038698328936
120011384,Concord West - North Strathfield,1,1,26209,13452,0.5132588042275554
120011383,Concord - Mortlake - Cabarita,1,1,22760,11286,0.49586994727592265
120011386,Five Dock - Abbotsford,1,1,21456,10825,0.504520879940343
120011385,Drummoyne - Rodd Point,1,1,19313,9897,0.5124527520323099
119031373,Riverwood,1,1,11668,4839,0.41472403153925264
119021367,Roselands,1,1,14486,6079,0.41964655529476735
119021362,Belmore - Belfield,1,1,19907,8608,0.43241070980057267
119021364,Kingsgrove (North) - Earlwood,1,1,25050,11227,0.44818363273453093
120031392,Canterbury (North) - Ashbury,1,1,10970,5598,0.5103008204193255
119021363,Canterbury (South) - Campsie,1,1,31951,15066,0.47153453726017963
119031370,Narwee - Beverly Hills,1,1,14297,6450,0.4511435965587186
119021574,Wiley Park,1,1,10681,4150,0.38854039883906
119021573,Lakemba,1,1,17883,6553,0.3664373986467595
109021177,Hay,0,0,3012,1371,0.4551792828685259
112021244,Casino,0,0,12495,4615,0.36934773909563823
112021245,Casino Region,0,0,7079,2870,0.4054244949851674
112011241,Evans Head,0,0,5316,2095,0.39409330323551545
105021098,Far West,0,0,2579,1013,0.39278790228770843
106011111,Kurri Kurri - Abermain,0,1,17967,7603,0.42316469082206265
106011108,Cessnock,0,1,22493,8664,0.3851865024674343
106011109,Cessnock Region,0,0,8073,3522,0.43626904496469715
106011107,Branxton - Greta - Pokolbin,0,0,10365,5064,0.4885672937771346
106021117,Maitland - West,0,1,23091,10708,0.4637304577541033
