SA2_CODE,DWELLING_FLAT,DWELLING_HOUSE,DWELLING_OTHER,DWELLING_SEMI,PERC_DWELLING_HOUSE,PERC_DWELLING_FLAT,PERC_DWELLING_SEMI,PERC_DWELLING_OTHER
503021040,582,2663,25,870,0.6432367149758454,0.14057971014492754,0.21014492753623187,0.006038647342995169
503021041,15380,1540,514,1910,0.07961124896608768,0.7950785773366419,0.09873862696443342,0.026571546732837056
503021042,3117,3606,38,1743,0.424035747883349,0.36653339604891816,0.2049623706491063,0.004468485418626529
503021043,3121,3597,36,1641,0.42846932698034546,0.3717689100655152,0.195473496128648,0.004288266825491364
504011044,297,5329,32,1189,0.7782970644077698,0.0433766613115233,0.17365269461077845,0.004673579669928435
504011045,316,8179,52,1689,0.7990425947635795,0.03087143415396639,0.1650058616647128,0.005080109417741305
504011046,2865,2024,39,2444,0.2745523602821487,0.3886326641345632,0.3315246880086815,0.0052902875746066195
504011047,49,7529,35,1668,0.8112272384441331,0.005279603491003124,0.17972201271414717,0.0037711453507165175
504011048,24,2594,7,543,0.8188131313131313,0.007575757575757576,0.17140151515151514,0.0022095959595959595
504021049,0,1127,25,4,0.9749134948096886,0,0.0034602076124567475,0.02162629757785467
504021050,6,2733,3,26,0.9873554913294798,0.002167630057803468,0.00939306358381503,0.001083815028901734
504021051,7,2075,0,143,0.9325842696629213,0.003146067415730337,0.06426966292134831,0
504021052,0,5,0,0,1,0,0,0
504021053,3,4839,50,102,0.9689627553063677,6.007208650380457e-4,0.02042450941129355,0.010012014417300761
504021054,35,4663,6,594,0.8801434503586258,0.00660626651566629,0.11211778029445074,0.0011325028312570782
504031055,0,0,0,0,NaN,NaN,NaN,NaN
504031056,3,6203,3,387,0.9404184354154033,4.5482110369921165e-4,0.0586719223771983,4.5482110369921165e-4
504031057,40,5555,54,741,0.8693270735524257,0.006259780907668232,0.115962441314554,0.008450704225352112
504031058,0,1890,38,0,0.9802904564315352,0,0,0.01970954356846473
504031059,171,11116,25,1784,0.8488087965791081,0.01305742211362248,0.13622480146609653,0.0019089798411728771
504031060,0,1022,29,0,0.972407231208373,0,0,0.02759276879162702
504031061,3,1636,57,95,0.9134561697375768,0.0016750418760469012,0.053042992741485204,0.031825795644891124
504031062,46,3627,96,479,0.8538135593220338,0.010828625235404897,0.11275894538606403,0.022598870056497175
504031063,0,0,0,0,NaN,NaN,NaN,NaN
504031064,0,0,0,0,NaN,NaN,NaN,NaN
504031065,0,1918,131,287,0.8210616438356164,0,0.1228595890410959,0.05607876712328767
504031066,419,2663,64,2105,0.5071414968577413,0.07979432489049705,0.4008760236145496,0.01218815463721196
504031067,45,2540,4,20,0.9735530854733614,0.017247987734764277,0.007665772326561901,0.0015331544653123803
504031068,0,3369,28,330,0.9039441910383686,0,0.08854306412664341,0.007512744834987926
504031069,0,0,0,0,NaN,NaN,NaN,NaN
505011070,0,3893,11,373,0.9102174421323358,0,0.08721066167874679,0.0025718961889174656
505011071,202,4482,0,343,0.8915854386313905,0.04018301173662224,0.06823154963198727,0
505011072,7,5385,8,297,0.9452343338599263,0.0012287168685272951,0.052132701421800945,0.00140424784974548
505011073,3,5024,13,441,0.9166210545520891,5.473453749315818e-4,0.08045977011494253,0.0023718299580368545
505011074,38,3808,9,414,0.8920121808386039,0.00890138205668775,0.09697821503865074,0.0021082220660576245
