SA2_CODE,LANG_HOME_EASIA,LANG_HOME_EEUROPE,LANG_HOME_ENGLISH,LANG_HOME_INDIGENOUS,LANG_HOME_NEUROPE,LANG_HOME_OTHER,LANG_HOME_SASIA,LANG_HOME_SEUROPE,LANG_HOME_SWASIA,PERC_LANG_HOME_ENGLISH
112021249,45,9,13169,3,182,67,36,215,13,0.9585122643569401
112031250,64,38,11770,7,58,64,15,121,0,0.9697618851445992
112031251,39,10,7974,10,29,41,128,72,3,0.9600288947748615
112031252,37,9,8360,3,67,35,37,79,8,0.9681528662420382
112031253,88,34,11869,7,102,81,27,116,27,0.9609748198526435
112031254,170,68,16704,0,139,195,114,283,30,0.9435688866293849
112031550,133,32,14289,0,74,173,68,154,19,0.9562976843796012
112031551,21,9,2983,0,25,18,15,28,0,0.962568570506615
112031552,118,29,7111,7,45,98,71,70,4,0.9414802065404475
113011256,288,21,12863,6,83,939,1240,1531,357,0.7423245614035088
113011257,97,6,10529,4,65,112,193,589,25,0.9061101549053356
113011258,40,12,8447,3,14,158,129,323,56,0.9199520801568286
113011259,16,3,5252,7,22,16,28,37,8,0.9745778437557988
113021260,10,19,2952,0,13,17,6,9,4,0.9742574257425742
113021261,16,18,5423,0,62,44,30,14,4,0.9664943860274461
113021262,60,23,4135,4,54,24,3,24,5,0.9545244690674054
113031263,34,0,6911,0,19,44,31,14,0,0.9798667233801219
113031264,9,0,3269,0,4,17,14,11,0,0.983453670276775
113031265,118,0,4715,0,3,24,13,23,0,0.963031045751634
113031266,12,3,6158,6,24,51,18,19,9,0.9774603174603175
113031267,141,48,14857,3,76,240,235,87,132,0.9391870535432075
113031268,85,7,3747,0,28,77,154,11,47,0.9015880654475458
113031269,172,37,18749,30,74,540,319,97,203,0.92720439147421
113031270,112,21,10241,3,40,187,386,78,97,0.9172413793103448
113031271,37,7,13262,7,48,53,46,58,9,0.9804095512678347
114011272,38,12,7878,0,59,20,10,75,8,0.9725925925925926
114011273,18,70,3193,0,11,19,0,60,3,0.9463544754001185
114011274,15,16,4410,0,26,13,4,47,0,0.9732950783491503
114011275,0,0,37,0,0,3,0,0,0,0.925
114011276,31,70,3644,3,33,14,9,132,7,0.9241694141516612
114011277,89,49,14135,3,77,142,99,126,25,0.9586300440827399
114011278,147,78,16798,8,78,209,162,146,51,0.9502743678225943
114011279,21,114,12620,13,95,69,19,207,19,0.9577293769446763
114011280,5,14,3963,0,15,11,12,40,0,0.9761083743842365
114011281,9,26,3062,0,11,17,0,68,0,0.9589727528969622
114011282,62,84,13726,0,97,85,41,184,19,0.9599944048118618
114011283,13,28,4539,0,44,26,0,34,0,0.9690435525192144
114021284,107,104,11440,0,106,66,145,208,30,0.9372439783712928
114021285,11,46,5451,0,35,24,5,85,18,0.9605286343612335
114021286,75,41,7781,0,90,78,85,175,38,0.9304077484156403
114021287,214,68,8517,0,61,105,101,131,16,0.9244545750569847
114021288,12,11,3115,0,15,7,0,34,3,0.9743509540193932
114021289,18,31,5941,0,52,11,0,103,6,0.9641350210970464
115011290,3873,386,13959,0,147,574,1708,634,918,0.628812108653543
115011291,2772,387,11862,0,215,569,2410,699,663,0.6059151044593145
115011294,180,70,5306,0,63,61,84,168,131,0.8751443179943922
115011296,2627,137,7593,0,136,240,895,298,375,0.6172668888708235
115011553,1308,201,4613,0,55,192,388,230,359,0.627960794990471
115011554,896,74,3118,0,72,106,441,111,130,0.6301535974130962
115011555,1793,248,7829,0,142,314,406,376,405,0.6800138973334492
115011556,1682,156,5851,0,122,243,498,279,374,0.6356328082563824
115011557,711,49,2974,0,33,248,615,174,282,0.5847424302005505
115011558,3627,257,10412,0,256,435,2217,477,612,0.5691794675558957
115011559,2367,383,14769,0,243,853,1995,757,1164,0.655496870977764
115021297,837,290,16600,0,271,161,370,834,652,0.8293779665251062
115021298,104,36,4518,0,56,28,8,163,60,0.9085059320329781
115031299,3,11,2221,0,25,6,3,27,3,0.966072205306655
115031300,83,129,19599,4,150,66,34,462,36,0.9531196809804017
115041301,145,87,9207,3,84,64,32,308,78,0.9199640287769785
115041302,1369,262,15709,0,254,998,1547,806,951,0.717436974789916
116011303,732,427,7128,0,53,1211,4671,510,1051,0.45162516631819044
116011304,558,533,9804,0,40,1883,2806,664,917,0.5698343504795118
116011306,599,548,10057,3,47,3854,4257,672,1487,0.46724586508084
116011307,1180,536,16963,0,133,1018,1931,866,926,0.7202054939922727
116011308,1290,438,11793,0,91,1480,5159,1020,1420,0.5197214754748579
116011560,624,391,6015,0,33,949,2174,506,953,0.5165306998711894
116011561,729,397,7731,0,132,1675,2746,666,1222,0.5053601778010197
116021309,955,277,8061,0,76,1132,3948,485,806,0.5121346886912326
116021310,1605,408,17252,4,200,2088,6321,850,1628,0.5683225721438925
116021312,529,182,11337,0,100,721,2135,716,394,0.7035497083281619
116021562,118,76,2053,0,15,286,835,134,183,0.5548648648648649
116021563,595,309,13926,0,84,1658,4244,621,664,0.6301072349667436
116031313,172,160,11605,3,51,2302,1014,442,1008,0.6925463985200215
116031314,95,229,4329,3,21,1214,1368,287,456,0.5409897525618595
116031315,199,290,10242,3,18,4006,2926,565,1333,0.5230313553263201
116031316,174,227,13484,0,61,2301,1647,354,603,0.715293618375683
116031317,347,395,9663,3,64,3513,3611,448,3123,0.45651249586620685
116031318,3,0,15,0,0,0,0,0,0,0.8333333333333334
116031319,429,409,10387,0,57,4074,2646,791,1363,0.5153304227029173
117011320,3,0,16,0,0,0,0,0,0,0.8421052631578947
117011321,507,444,7395,3,65,498,199,783,174,0.7345053635280095
117011322,3356,802,9811,0,84,2894,1763,2842,1379,0.4278487636823514
117011323,877,420,5721,0,70,760,751,1182,733,0.5441316340117938
117011324,0,0,3,0,0,0,0,3,0,0.5
117011325,3,0,16,0,0,0,0,3,0,0.7272727272727273
117021326,1150,380,14778,13,153,2985,695,3413,1028,0.600853832079691
117021327,681,350,14268,6,170,671,182,1865,233,0.7743406056659069
117021328,469,309,5014,0,77,653,137,573,112,0.6827342047930284
117031329,483,200,7115,0,191,472,149,762,84,0.752432318104907
117031330,892,315,11899,9,219,457,114,796,139,0.8018194070080863
117031331,2056,342,12450,0,285,942,228,979,308,0.7077885162023877
117031332,2456,327,16984,0,342,719,318,1167,255,0.7525700106345268
117031333,697,435,12842,10,367,568,182,1376,220,0.7691202012337546
117031334,6170,451,8387,0,209,1682,651,1412,370,0.4338402648458514
117031335,4320,522,11049,3,238,1544,390,1359,411,0.5570175438596491
117031336,1326,350,9565,0,263,1167,211,1192,166,0.6716994382022472
117031337,7226,278,6885,3,192,6757,799,1010,282,0.2938289518607033
117031338,8458,1355,14558,6,356,1429,397,2293,759,0.4916416196683665
118011339,289,742,12887,0,361,176,58,1755,237,0.7807936988791275
118011340,293,642,14361,0,536,147,66,1929,332,0.7844968862667978
118011341,823,741,10919,0,271,309,109,1365,267,0.7375709267765469
118011342,0,0,0,0,0,0,0,0,0,NaN
118011343,917,654,18381,0,352,286,87,1318,385,0.821313672922252
118011344,289,627,7707,0,171,168,58,636,473,0.7608845888044229
118011345,298,261,11584,0,222,194,64,913,87,0.8503266534537179
118011346,494,329,9074,0,126,122,36,640,220,0.8218458472964405
118011347,227,158,5825,0,111,94,43,366,79,0.8438360133275388
118021348,545,695,18910,0,497,278,134,1874,294,0.8141387178714428
118021350,1654,699,14788,32,198,677,312,1786,515,0.7157446396592614
118021564,3447,262,7046,5,119,976,524,1028,364,0.5116549270205505
118021565,4877,301,5942,0,117,1312,465,1500,276,0.4017579445571332
118021566,1106,297,5841,4,130,308,75,1409,167,0.625575666702367
118021567,737,597,6480,0,140,332,132,1242,240,0.6545454545454545
118021568,2059,339,4687,0,69,780,132,1131,350,0.4909395621661255
118021569,813,657,11977,0,282,371,203,1193,217,0.7622350919620696
118021570,1142,334,8278,0,179,426,266,914,154,0.7079449243136919
119011354,648,770,8728,0,79,2752,314,1452,5917,0.422458857696031
119011355,247,9,183,0,0,138,111,32,82,0.2281795511221945
119011356,402,423,3336,0,31,1931,229,935,3392,0.3123888004494803
119011357,1461,284,6634,0,41,1576,1606,1857,10916,0.27216410256410256
119011358,2079,574,9141,0,66,1136,529,1090,1085,0.5822292993630573
119011359,1428,654,17677,6,82,1262,603,1450,1521,0.7161609204715796
119011360,1617,384,8470,0,37,1577,702,994,1651,0.5488595127008813
119011361,1351,925,6116,0,45,4367,593,838,5222,0.31433417279128334
119011571,1718,644,3013,0,16,3317,1849,675,3695,0.20184899845916796
119011572,1205,572,2657,0,11,4635,988,921,3548,0.18277498796175276
119021362,2562,224,6190,6,39,1677,1224,3379,2645,0.3449236598684944
119021363,9799,290,6638,0,26,3461,3786,2780,2104,0.22981581498407422
119021364,1648,431,10346,0,120,1261,230,6616,1646,0.4639878015965557
119021366,1210,194,4541,0,25,2873,1691,1461,7406,0.23406009999484562
119021367,1471,300,4956,0,33,851,744,2419,2103,0.3848722528539256
119021573,921,103,2503,0,25,3052,5632,970,2517,0.1591935381288558
119021574,634,49,1733,0,3,1492,2952,517,1970,0.1853475935828877
119031368,11884,847,4569,0,23,1122,1953,1137,882,0.20381853057947094
119031369,4345,1138,12174,3,80,962,1948,1376,637,0.5371751312712351
119031370,4062,362,4962,4,41,1084,497,1274,799,0.3792128391287734
119031371,2e3,574,7816,0,76,285,174,976,237,0.6439281594990938
119031372,1681,778,11785,0,86,381,234,1486,879,0.6808203350664356
119031373,3453,338,3557,0,14,1107,475,618,982,0.3373482549317147
119031374,7487,889,9410,0,64,767,1262,2318,942,0.40667271705778124
119041375,4509,1289,7381,0,71,1366,959,1825,2586,0.3693085159611728
119041376,3962,2231,9026,0,78,1239,2540,2955,2758,0.3641131146879664
119041377,2145,344,5261,0,55,678,162,2617,787,0.4366337455390489
119041378,2002,616,3322,0,32,859,2212,1274,355,0.3112818590704648
119041379,3177,1043,6040,0,51,726,1341,2007,807,0.39757767245918907
119041380,553,891,6072,0,40,426,382,3293,1247,0.47055176689398637
119041381,2738,1862,5560,0,58,1581,3682,1852,1170,0.3004918121385721
119041382,680,850,8969,0,52,370,172,3043,870,0.5976942556310809
120011383,3028,427,12646,0,121,375,477,2886,809,0.6088882469064472
120011384,9732,376,8449,0,111,836,1553,1451,829,0.36204310751167673
120011385,818,264,12790,0,159,311,190,2205,305,0.750498767750264
120011386,1460,395,12816,0,140,385,175,3337,399,0.670748940178992
120021387,331,141,12593,0,235,180,99,591,135,0.8803215658860538
120021388,787,400,19822,4,265,506,213,2129,300,0.8115123229345779
120021389,399,194,10798,0,178,217,85,854,158,0.8381588139408522
120031390,5382,492,9794,5,122,1572,3181,1740,542,0.4289969338589575
120031391,10274,528,7295,0,60,1261,1509,1645,754,0.31274114721769697
120031392,947,177,5400,0,74,606,362,1792,493,0.5481676987107907
120031393,2650,433,8219,0,49,748,600,2526,1209,0.5001216989168796
120031394,644,337,10593,0,138,965,333,1989,590,0.6795176085701456
120031395,857,201,8655,0,84,409,340,2086,142,0.6775481446688586
120031396,4760,214,3375,0,17,879,4735,349,301,0.23069036226930964
