sa2_code,region,females,males,x0_4,x10_14,x15_19,x20_24,x25_29,x30_34,x35_39,x40_44,x45_49,x5_9,x50_54,x55_59,x60_64,x65_69,x70_74,x75_79,x80_84,x85_and_over
101041027,Narooma - Bermagui,4635,4499,384,413,356,278,299,291,342,381,480,425,555,840,1049,1031,765,498,341,406
101051539,Goulburn,11638,11777,1535,1308,1406,1512,1633,1554,1361,1457,1455,1500,1517,1474,1357,1231,1062,793,589,671
101051540,Goulburn Region,6200,6705,686,888,752,529,531,561,629,786,927,770,1055,1047,1004,1010,700,489,326,215
101061541,Yass,3461,3203,481,431,397,369,363,399,374,435,453,478,427,423,369,373,280,219,183,210
101061542,Yass Region,5885,5946,762,914,782,523,452,539,668,1032,1014,864,925,876,799,679,483,277,139,103
101061543,Young,5578,5197,743,754,707,586,561,567,619,636,628,851,687,644,601,681,505,416,284,305
101061544,Young Region,3665,3731,416,437,409,347,309,303,329,407,509,468,548,581,585,622,459,309,178,180
102011028,Avoca Beach - Copacabana,3763,3863,472,609,566,385,348,357,472,563,619,584,594,534,473,398,276,205,88,83
102011029,Box Head - MacMasters Beach,5586,5409,589,665,694,505,426,447,529,726,750,697,757,865,789,922,662,454,266,252
102011030,Calga - Kulnura,2306,2552,225,304,322,247,245,239,224,332,413,257,419,407,341,326,263,140,95,59
102011031,Erina - Green Point,7596,6746,708,932,849,671,634,586,625,846,916,789,905,963,879,907,841,710,667,914
102011032,Gosford - Springfield,9908,9474,1213,965,984,1291,1590,1455,1219,1279,1157,1089,1355,1236,1148,993,762,606,446,594
102011033,Kariong,3219,3367,484,498,591,506,358,419,473,498,500,503,487,415,275,191,143,115,78,52
102011034,Kincumber - Picketts Valley,3999,3484,414,449,418,385,371,341,372,439,440,464,427,460,402,419,446,402,342,492
102011035,Narara,3477,3371,464,448,458,465,470,398,424,491,471,472,489,511,394,353,229,142,86,83
102011036,Niagara Park - Lisarow,4114,4087,539,617,607,502,449,447,507,559,619,608,608,569,467,390,255,169,123,166
102011037,Point Clare - Koolewong,3269,3120,379,373,343,288,344,356,361,465,453,417,462,458,356,360,361,272,180,161
