SA2 Code (2016),Persons Total Separated,Persons Total Widowed,Persons Total Divorced,Persons Total Never Married,Persons Total Married,Persons Total Total
119011571,499,532,1250,3718,6586,12577
123021437,648,890,1298,5319,6577,14735
119031370,309,729,882,3673,5848,11439
125031487,0,0,3,0,3,11
125041489,552,798,1636,6815,8714,18517
119021362,579,926,1299,5051,7656,15510
119021363,765,1073,2125,8356,13509,25835
119021364,545,1114,1260,6085,10312,19318
119031371,215,494,632,3181,5863,10390
119031372,363,1136,993,4024,8161,14674
119021366,568,764,1116,5472,8165,16083
125041490,111,324,334,1597,3885,6253
119021367,369,591,793,3293,5772,10812
123021440,525,685,1256,5172,8226,15867
119021573,383,534,797,3680,7339,12734
119021574,269,232,520,2288,4431,7742
119041379,350,564,1006,4323,7027,13261
123021441,545,590,1172,4626,6330,13252
125041491,372,774,1139,4188,9601,16079
125041492,576,583,1393,7619,14033,24205
119031368,410,836,1221,7266,10396,20135
119031369,527,1044,1452,6322,10441,19780
120011384,397,555,1079,8824,10326,21181
120011385,354,902,1276,5132,7483,15145
120011386,424,1049,1546,5439,8476,16929
119031373,365,566,1030,3209,4334,9507
119031374,417,1014,1277,6682,10718,20107
120021387,305,402,1431,4944,5871,12952
123031445,137,191,376,1417,2399,4524
123031446,191,298,450,2089,4360,7391
119041378,226,399,638,3178,5014,9455
123031447,493,650,1127,4289,6662,13216
123031448,158,229,470,2169,4017,7044
119041375,484,610,1091,8303,7986,18470
119041376,680,1272,1482,6793,11528,21753
119041377,272,580,691,3274,5539,10350
124011449,189,277,653,1572,1991,4677
119041380,453,730,1200,3813,5539,11730
119041381,426,825,1173,6069,8692,17182
119041382,443,962,1440,3909,6564,13319
120011383,404,941,1241,5171,10248,18005
120021388,528,752,1938,9539,8685,21437
124011450,380,640,1192,4339,8554,15108
124011451,0,0,0,3,7,14
125041493,454,1180,1230,5270,9626,17762
120021389,291,395,1044,4652,5025,11409
120031390,476,1024,1715,8940,9301,21464
120031391,456,903,1345,9523,9413,21644
124021456,0,0,4,0,0,3
120031392,220,405,591,3206,4279,8697
125031482,563,1051,1257,5754,11977,20597
120031393,363,777,1073,4914,7136,14259
125031483,661,792,1149,5197,8028,15823
124031457,466,502,1134,4451,5817,12357
120031395,268,612,806,4495,5004,11185
120031396,293,287,690,5312,7140,13725
126021498,270,625,919,3887,6124,11834
126021499,141,623,576,2664,4317,8327
126021500,339,921,1163,8396,8125,18948
125031479,587,867,1254,4931,6860,14505
125031480,562,847,1130,4194,5534,12267
126021501,169,614,630,3165,5484,10062
126021503,388,535,1043,5695,8605,16260
124031458,589,509,1278,6578,9172,18124
125041494,169,438,551,2126,5118,8394
120031575,388,995,1013,8935,10535,21874
125031481,587,622,1198,5849,8411,16664
120031576,79,129,151,1041,1513,2911
121011400,439,980,1482,7094,11557,21558
121011401,195,191,759,3604,4155,8899
121011402,374,947,1156,5428,11754,19654
121021403,282,557,948,4080,8512,14390
125031484,721,943,1299,5462,7784,16206
