SA2_CODE,SA2_NAME,IS_SYDNEY,IS_SUA,LAB_FORCE,UNEMPLOYED,PERC_DWELLING_FLAT,PERC_DWELLING_HOUSE,PERC_DWELLING_SEMI,PERC_DWELLING_OTHER,BORN_OVERSEAS_MOD,SEIFA_Edu_Occ_Index,SEIFA_Economic_Res_Index,SEIFA_Rel_SocioEco_Adv_Disadv_Index,SEIFA_Rel_SocioEco_Disadv_Index,ENG_PROFICIENT_MOD,LANG_HOME_ENGLISH_MOD,EDU_BACHELOR_MOD,EDU_POSTGRAD_MOD,EDU_CERTIFICATE_MOD,EDU_DIPLOMA_MOD,SEPARATED_MOD,DIVORCED_MOD,MARRIED_MOD,WIDOWED_MOD,PERC_HHOLD_SIZE_OVER_5,PERC_HHOLD_NON_FAM,MALES,FEMALES,ANCESTRY_BOTH_AUST,ANCESTRY_ONE_OS,ANCESTRY_BOTH_OS,ARRIVAL_LAST_20,ARRIVAL_20_50,ARRIVAL_OVER_50,INDIG_POP,PERC_OPEN_SPACE,COMMUTE_MED_DIST,COMMUTE_AVG_DIST,COMMUTE_CAR,COMMUTE_WALK,COMMUTE_BUS,COMMUTE_MOTORBIKE,COMMUTE_TRAIN,COMMUTE_BIKE,COMMUTE_OTHER,COMMUTE_PUBLIC_TRANS
101021010,Queanbeyan - East,0,1,2788,140,0.3564437194127243,0.3646003262642741,0.2732463295269168,0.005709624796084829,657.4519114688128,1024,973,1013,1019,4904.523943661971,1972.3557344064386,369.1154929577465,210.36217303822937,848.7412474849094,215.9718309859155,72.3645875251509,241.215291750503,957.5686116700201,83.02293762575452,0.017729623245506032,0.421233718358319,1434.3895372233399,1353.61046277666,1367.0736418511065,300.1167002012072,838.0828973843057,401.6515090543259,172.77746478873237,73.48651911468812,191.85030181086518,0.4649399387852408,11.5,12.3,2036,101,41,22,0,20,29,41
118021564,Kensington (NSW),1,1,7311,782,0.7511160714285714,0.17280505952380953,0.06454613095238096,0.011532738095238096,3513.337788810388,1145,943,1105,1053,12179.881229711667,3278.8050410540386,1496.5422952071797,812.488447584495,858.5573801794922,413.6897078480046,83.76169562726753,264.3146839793775,1691.0555661638343,132.15734198968875,0.01895218385796754,0.4494993469743143,3712.9698300553755,3598.030169944625,1617.066068359748,628.6780599579912,4153.184074852014,2641.285468779836,585.8665266373879,143.79091082680924,103.77143402711476,0.26636893497842706,4.9,7.4,2342,648,1685,83,74,175,61,1759
118021565,Kingsford,1,1,7121,746,0.5518706093775527,0.32135272014376737,0.12007841855905897,0.006698251919620977,3943.058135995617,1120,882,1064,1001,11738.574237535764,2575.8192000974004,1619.9657271565106,808.0321422049066,952.3855238327144,384.5088573689657,89.29968953552078,266.5985876909965,1965.893650697023,187.70274548000242,0.03525199669512531,0.43727631458199506,3668.656662811225,3452.3433371887745,1191.6740122968283,557.472819139222,4653.554209533086,2875.363304316065,698.7917452973762,228.88464113958725,81.93029768064771,0.002482498386376049,5.9,7.8,2605,653,1642,73,40,108,37,1682
118021568,Maroubra - West,1,1,5034,344,0.5205413243112614,0.2931367810536491,0.18293861768970518,0.0033832769453842437,2369.2423037810854,1101,977,1084,1044,8278.154016825367,2181.2293611907185,954.4914486456504,492.83590644356104,853.9696773597116,329.02264953314227,86.56041416289175,233.62004252565407,1766.1116760654525,161.95174262734585,0.02713124913923702,0.32033618076605125,2486.5177036146806,2547.4822963853194,976.3642414717574,439.317370805214,3035.19903855043,1489.2114264583527,641.291670518628,184.75529259498936,71.20292132753998,0.2985731039874902,7.5,8.8,2208,223,1194,72,21,33,41,1215
118021350,Malabar - La Perouse - Chifley,1,1,10707,484,0.2963005252340717,0.47328157113496233,0.22505138159397123,0.005366522036994748,3139.636973447794,1044,1022,1048,1024,17055.103134358156,6322.024995008984,1210.7096825713716,624.5928129367139,2631.327011379517,721.2101816729887,263.34645637851867,686.154322220004,3930.103853064484,491.20954282291876,0.03936749557115675,0.2734369874696582,5625.182910760631,5081.817089239369,3518.8387702136156,1138.0329007785986,4105.810660810541,1233.7952485526055,1349.2230784587744,328.3280495108804,1011.0622878818128,0.4830957092360513,9,10.6,6590,227,1242,126,28,95,67,1270
118021348,Coogee - Clovelly,1,1,14693,547,0.6888023039132645,0.172962900220227,0.1323903100118584,0.005844485854650178,4487.67368845252,1151,1010,1131,1082,24636.18200468933,10178.950395662367,3365.8898373388038,1727.353348475967,2458.3430172919107,1042.1178194607269,257.2997508792497,882.7857561547479,4425.771028722157,374.1073783704572,0.013902932254802831,0.3851953045942117,7017.070193434935,7675.929806565064,4916.686034583821,1893.6831037514653,5661.671087338804,2758.167203985932,1348.4014141266118,300.90075468933173,254.07004689331768,0.17186359370111587,7.7,9,6417,653,3315,281,128,363,138,3443
118021569,Randwick - North,1,1,9984,375,0.7342423462824801,0.10856701826601492,0.15217391304347827,0.005016722408026756,3586.610342316096,1154,1005,1135,1090,17269.09249817917,6699.4435542607425,2382.310269482884,1235.6241806263656,1801.1361981063365,741.1507647487254,198.01310997815003,595.7174071376547,2979.7057538237436,349.5994173343044,0.008990934759994056,0.38312267657992566,4762.942461762564,5221.057538237436,3080.949745083758,1280.3729060451565,4418.377276037873,2213.943190094683,1032.5768390386015,297.019664967225,112.99053168244718,0.02645174622855962,6.2,7.9,3867,784,2158,154,137,319,111,2295
118021570,Randwick - South,1,1,7248,292,0.6619242397296816,0.16521429841721502,0.16396941134625645,0.008892050506846879,2812.176230388997,1158,983,1131,1082,11797.536213195788,4298.226520524393,1680.2441435632927,879.0646894476682,1110.1242209327318,474.58070062325385,118.90479260692028,373.32989469159685,2082.131957876639,211.84784010315929,0.014180672268907563,0.3947921041579168,3540.6627981947136,3707.3372018052873,1829.2645604986033,808.4487427466152,3421.2387706855798,1911.8229099505697,676.0438426821406,168.75134321942835,69.57747689662584,0.04548419616912768,6.4,8,2499,911,1782,96,56,167,68,1838
118021566,Maroubra - North,1,1,5010,213,0.38693210821847884,0.4116896375701889,0.19499744767738642,0.006380806533945891,1814.6758462421112,1122,1047,1114,1080,8504.736087205967,2798.184165232358,995.9638554216867,477.1428571428571,943.7464142283419,346.8387837062536,68.02639127940333,254.38037865748709,1812.2805507745265,263.96156052782555,0.03108283938123464,0.2999276934201012,2430.7458405048765,2579.254159495123,1406.9965576592083,588.2845668387837,2437.9317269076305,914.0447504302925,599.7819850831899,233.3017785427424,61.31956397016638,0.07867712014134275,8.3,9.9,2664,112,866,78,25,74,50,891
118021567,Maroubra - South,1,1,5228,261,0.5824980724749421,0.19390902081727063,0.21915959907478796,0.004433307632999229,1850.7580616740088,1079,954,1039,998,8649.921762114538,2984.796475770925,889.4509251101322,462.91982378854624,1104.5589427312775,380.46942731277534,135.88193832599117,419.1612334801762,1631.0438766519824,221.55665198237884,0.018066635382449556,0.375658896567881,2541.683171806167,2686.3168281938324,1550.896563876652,596.959295154185,2380.0066960352424,968.6770044052863,689.0826431718061,164.44017621145375,192.9984140969163,0.17975786924939469,9,10.6,2735,115,940,103,20,87,47,960
