"","SA2_CODE","Bicycle ","Bus ","Car, as driver ","Car, as passenger ","Ferry ","Motorbike/scooter ","Taxi ","Train ","Tram ","Truck ","Walked only "
"569","128021534",3,43,3831,200,0,12,7,323,0,65,27
"570","128021535",19,76,7593,385,0,29,13,625,0,112,145
"571","128021536",45,37,5772,284,0,30,6,1899,3,96,112
"572","128021537",0,0,6,0,0,0,0,0,0,0,8
"573","128021538",55,54,5772,310,0,61,16,2308,0,67,256
"574","128021607",18,18,5273,248,0,35,7,827,0,84,155
"575","128021608",14,11,2220,115,0,15,4,503,0,32,27
"576","128021609",11,13,1379,60,0,8,0,130,4,28,24
"577","197979799",0,0,24,0,0,0,0,4,0,0,0
"578","199999499",39,174,1355,221,8,21,12,272,5,36,352
